,1,0,time,comments_num
0,"我也有自己的傲气，因为对方是你，才迁就这份嚣张
",65.9万,2019年8月7日,369158
1,"幸好你给的失望够多 我的离开也算值得。
",45.5万,2019年8月7日,369158
2,"这首歌写出来蛮久了，终于找到了合适的主人
",35万,2019年8月27日,369158
3,"互相心里有对方的人不应该错过.
",25.5万,2019年8月7日,369158
4,"你知道什么最可怕吗 就是你明明是因为是失望才离开他却以为是你不够喜欢
",16万,2019年8月7日,369158
5,"都怪我没有治愈我的伤
",15.6万,2019年8月29日,369158
6,"世界最不缺的就是漂亮女孩 你也不会一直为我着迷
我只想被偏爱 被对得起 这个七夕过得真狼狈
",15.1万,2019年8月7日,369158
7,"最难过的莫过于当你遇上一个特别的人，却明白永远不可能在一起，或迟或早，你不得不放弃。真心喜欢过的人是没法做朋友的。哪怕多 看一眼还是想拥有，从未停止过喜欢你只是从浓烈变得悄无声息......
",12.8万,2019年8月9日,369158
8,"遇见你爱意汹涌 看世间万物都浪漫心动
",88295,2019年8月7日,369158
9,"轰轰烈烈的爱情总是长久不了
",73424,2019年8月20日,369158
10,"满身的刺儿我偏偏要一根根给你拔了
",70767,2019年8月7日,369158
11,"人总是爱把短暂的东西说成永久的。
",60458,2019年8月7日,369158
12,"别再那么嚣张了 回来吧……我还在原地等你
",51861,2019年10月6日,369158
13,"因为你没有遗憾 所以你从来都不会回头 
",51555,2019年8月12日,369158
14,"相信很多人都经历过这样的爱情吧 节衣缩食 千里迢迢 在逼仄嘈杂的车厢里从日落坐到太阳升起 那些隔着屏幕的误会与争吵 那些孤枕难眠的离别之夜 那些山长水阔的千里思念 尽管看起来残忍 但却会在这段远距离恋爱结束的那一天变成一辈子最难忘怀的浪漫
",45478,2019年8月8日,369158
