,1,0,time,comments_num
0,"唢呐倒是个神奇的东西
中国人的红白喜事，从生到死
一根铜管全能吹出来
",62.5万,2019年4月18日,192546
1,"新郎爱我
王二狗也爱我
可是新郎再爱我也没有让我和王二狗走
王二狗再爱我 也没有来劫婚
这就是，他们说的爱
",39.1万,2019年1月28日,192546
2,"多谢大家的影评…
",30.7万,2018年10月6日,192546
3,"“唉，听说了吗?那户人家…呶，就外边那个穿喜服的娃子，今个他娶亲”
“那是喜事啊。诶，等会儿，今个儿是正月十八…正值月破，大事不宜。嗨，哪家姑娘肯嫁与这个缺心眼的娃子，这等婚姻大事也这么不着调”
“他娶得是…”
“哪家姑娘，说说呗”
“就前些日子投河的那姑娘，算算日子，今个她头七”
",20.6万,2月26日 13:52,192546
4,"新郎喜欢着新娘子，但是新娘已经死了，新郎决定办冥婚，这也是为什么要在宜入葬的正月十八结婚，村里每户人家都锁着门。到了地方，新郎在大喜的日子却哼出一段离人愁，不是因为新娘子不喜欢他，而是因为两人早就阴阳两隔。她在新郎唱离人愁的时候没接上话，在王二狗送她糕点的时候，她也没能说出话。
",17.1万,2019年11月7日,192546
5,"优秀。这段唢呐单独拿出来其实是喜庆的 但是在整体配器、和声走向融合在一起 它就是悲的。不过更多的 还是看你们对歌曲的感受理解
",15.2万,2018年11月14日,192546
6,"女人爱新郎女人也爱王二狗可是再爱新郎也没和王二狗斩断情丝女人再爱王二狗也没和他浪迹天涯断断续续的爱恨不离 这就是你认为的 爱
",14.1万,2019年2月6日,192546
7,"双喜才是囍 怕我只是喜
",10.2万,2019年1月17日,192546
8,"门上贴囍 身着红衣 心里有你
",91755,2018年10月7日,192546
9,"堂前他说了掏心窝子的话 不兑上诺言岂能潇洒 他承诺过新娘此刻新娘要嫁与他人 他又岂能潇洒 青梅竹马 一如意 一酒桶 王二狗在喜宴上喝了很多很多酒 心里想着你我青梅竹马今日你却嫁与他人 她竖起耳朵一听 这洞房外王二狗给她送点心来 其实是王二狗想听她说什么才来送点心 她这次又没说出口
",74604,2018年11月28日,192546
10,"我有个朋友告诉我这首歌叫红双喜，害我找了半年
",66874,6月29日 22:12,192546
11,"王二狗新娘爱人 切肤之爱 属是非之外 处于无奈嫁给这个新郎官 村里都明知新娘爱的人是王二狗 这村说来奇怪 家门全关 只王二有狗的鞋在家门外 野猫追了几条街指的是王二狗 而且那个新郎官知道新娘与王二狗是真心相爱 所以新郎官乐着哼出个离人愁来 拜天地要笑着 她挤出笑容 哭着笑来着 笑着哭来着
",56651,2018年11月28日,192546
12,"唢呐 和 二胡 让我觉得民族的才是世界的
",53333,2018年10月11日,192546
13,"瓦房里两个老妪一边折着菜叶，一边聊着些闲话。
门外，新郎官骑着高头大马，身边只跟着一个吹着唢呐的人。
“娘子，你别怪这迎亲队伍冷清，也别怪村子里的人不来祝贺，等我去找你成亲。”
路旁边，一只黑猫爬上了树，它歪着脑袋，一双金色的竖瞳看着新郎官背上趴着的那个白色虚影，隐约像是个女子。
",47623,2月26日 14:26,192546
14,"正月十八…宜丧葬…忌婚嫁…这是冥婚啊…
",41112,1月30日 11:17,192546
