,1,0,time,comments_num
0,"下次遇见喜欢的人记得要勇敢
",17.1万,5月21日 00:22,179694
1,"总会有个人陪你过未来每一个夏天。
",12.2万,5月21日 01:59,179694
2,"吴念慈 我不知道这次你还愿不愿意回来 我只是想说我真的很爱你 可能真的是我不配 生活真的一直在和我开玩笑 而我也一直都达不到你的预期 这是你发给我让我听的歌 现在也是我最喜欢的歌 现在我也只剩这首歌了吧。
",82840,5月27日 23:53,179694
3,"（一坨歌手爬过）寡某祝大家521快乐
",43909,5月21日 08:30,179694
4,"一八年的夏天，是全网公认最好的夏天
",42519,5月21日 22:41,179694
5,"“你不觉得一个女生和一群男生争辩一道数学题很酷嘛”
",34442,5月24日 09:43,179694
6,"我发了一句签名”可惜我相貌平平，
惊艳不了谁的岁月”，那句”你的签
名我不喜欢，你惊艳了我至少三年”
",33797,5月22日 22:41,179694
7,"好喜欢夏天啊.喜欢傍晚时那缓缓吹向脸颊的微风.也喜欢抬头看你时泛起的片片晚霞.
",32651,5月21日 00:48,179694
8,"遇见即是上上签！去更远的地方，见更亮的光！爱你们 ！笔芯❤️❤️
",31027,5月21日 00:26,179694
9,"那个夏天
不善言辞的小狮子
遇到了
温柔至极的小兔子
",18973,5月24日 09:30,179694
10,"如果你26岁想要一个孩子
那你25岁就要把他生下来
24岁就该怀孕
怀孕之前再谈两年的恋爱
那你22岁就应该结婚
订婚和见家长需要一年的时间
然后再花两年时间谈恋爱
那么19岁就应该选好人选
然后花一年时间去见这个人
再花一年时间去培养感情
那么17岁你就应该和他在一起
在一起经历一年的分分合合
所以…
",16986,6月4日 14:41,179694
11,"别急，去年夏天有的，今年夏天也会有的❤️
",13936,5月21日 23:14,179694
12,"中考之后我们就会没了联系了吧。
",11826,5月21日 22:34,179694
13,"""考不上高中却又不想去技校混日子'
",8054,6月26日 23:29,179694
14,"红色发带，蓝色抹额，是那个夏天的独家记忆
",7246,5月31日 11:10,179694
