,1,0,time,comments_num
0,"享！
",33.5万,2015年6月28日,122481
1,"然而我宇第一首情歌是和一个大男人唱的.....
",26.8万,2015年6月27日,122481
2,"杨宗纬的细腻声线和华晨宇的张力表现相得益彰 让我感受到这首歌仿佛在描述一个失恋的男人无助的神情 他的不甘心 失去后的痛彻心扉由华晨宇表现了出来 而在失恋后的挣扎中最后慢慢松开了拳头 只剩下淡淡的哀愁 就如同杨宗纬最后慢慢变轻的声音 作为一名纯路人➕普通听众的听后感
",10.5万,2015年6月27日,122481
3,"华晨宇多唱点情歌吧！太好听了！杨宗纬细腻的声线加上他极富张力的嗓音，两个男人的情歌对唱，竟如此和谐～
",63668,2015年6月27日,122481
4,"这首歌当时是我的手机铃声，只要一听到这首歌我就知道我爸需要我了、他还活着。我爸是食道癌晚期，严重后他没办法吃东西全靠输液维持，声音也变了直到没办法叫出我名字 每次他需要我的时候就会打我电话
他在2016.7.15永远地离开我了，自那铃声我也换了 我永远也接不到他的电话了
",52075,2018年3月1日,122481
5,"没看过快男，知道华晨宇完全是有一次听到他的烟火里的尘埃，感觉被一下击中一样，之后只要他有新歌听听。不是他的粉丝也不太懂外界对他的争议，但说实话这样用心做音乐的人不多了，非常喜欢这种特立独行的风格。
",48085,2015年6月28日,122481
6,"华晨宇现在发展成了出歌不用听，先下载的品质了。
",34556,2015年6月28日,122481
7,"借花呗的我比马云富有，奢侈的快乐，还花呗以后比乞丐落魄，心痛如刀割。
",31729,2018年8月10日,122481
8,"感恩。我以感恩的心态聆听这两位我认为最谦逊低调的歌者！时代不缺歌手，缺的是走心的，不迎合的，专注的歌者！华晨宇唱情绪，杨宗纬讲故事，如此契合。他说这不是一首小情歌，是有大爱的。我的修行还不够，没能参透这大爱，但我确实认同这不是一首简单的小情之歌！美好的夜晚，得听一首美好的作品！
",30759,2015年6月27日,122481
9,"近来有好几个朋友失恋了，对方不爱你了，任你肝肠寸断寻死觅活，也真的是无济于事，他不会疼的也看不到的。你是自己世界里的国王，不要死乞白赖的跑去别人的世界里做一个乞丐，施舍你的人累，自己也不会快乐。疼过了就好了，一切都会好的，总会好的，相信我。🙂
",28101,2016年3月16日,122481
10,"没作业的我比国王富有，曾多么快乐。
有作业的我比乞丐落魄，痛多么深刻。
噢 喔 噢 喔，噢 喔 噢 喔。
一人写着两份作业。
写越多，越折磨。
老妈还在煽风点火。
明知不写就会堕落。
抱着害怕重返玩乐。
玩到最后究竟还剩什么！！！
回忆的我！比国王富有，奢侈的快乐！！！
而现在的我~……
",24467,2018年10月7日,122481
11,"我再也没有给你留过言 再也没有主动找过你 再也没有给你打过电话 再也没有给你发过短信 看见你只会擦肩而过微微一笑 出于礼貌 甚至当做路人笑都不笑 不是我装清高不食人间烟火 而是你错过了当初认真的我
",21972,2016年3月16日,122481
12,"主歌跟副歌融合的特别好，很喜欢吟唱的部分！杨宗纬的声音真的好细腻，华晨宇的缥缈副歌两人融合的太好了！这首歌单曲真的循环了一个小时都觉得听不够。
",14145,2015年6月27日,122481
13,"《国王与乞丐》是一个人面对情感和物质之间平衡的思考，虽然分饰两个角色，却统一的面对了同一个问题。国王拥有的乞丐不曾拥有，乞丐拥有的国王也无比神往。生活往往就是这样，在大多数人都往国王的方向奔走的时候，有时候静下来体会体会乞丐的幸福，或许生活才会不失去颜色。
",11936,2018年5月23日,122481
14,"错的时间遇到对的人，才叫青春。我想大抵是因为笑过哭过，酸甜苦辣都尝过，无论最后结局如何，都可以笑着去回忆，真心的说一句青春无悔。这个世界，因为你曾来过而美好。
",10766,2018年5月24日,122481
