,1,0,time,comments_num
0,"我非常赞同一句话，那就是“趁年轻，要敢于尝试”，人生短短几十载，没有尝试过又怎能晓得那无限的可能性呢？因为未来发生的事情没有标准答案，所以才会更加期待明天，人无完人，不完美、有遗憾的才叫人生，青涩也好，成熟也罢，那都是我慢慢变得更好的经历，最后，祝歌手王源越来越好，在哪里都好💚
",10382,11月5日 00:00,37842
1,"小源 这是你作曲的歌 真的很好听 特别适合晚上一个人安静的听着 很治愈很温柔的声音 你真的好优秀啊 这么忙的行程做了这么多事情 而且都完成的如此圆满 还给我们准备了大惊喜 把20岁的第一天留给我们 你太好了 
",8336,11月5日 00:00,37842
2,"温柔的曲风 像是把一个故事谱成了一首歌 很有故事感 王源的声音也自带故事感把这首歌唱到了心间
",6701,11月5日 00:00,37842
3,"每个人都是孤星，但光芒始终相互辉映，闪耀也对，黯淡也对，苍茫宇宙中的我们不曾失去感情的出口，找到自己，接受自己，在哪里都好。💚💚
",4287,11月5日 00:00,37842
4,"由王源作曲的《在哪里都很好》来了耶！听小王子和自己的对视٩(๑^o^๑)۶隔空相望，深入人心，王源和蔡健雅老师合作的好好，和声也太好听了，听完我都没了哇。王源说这是今年最满意的作品，哇，真的好好听，我的单曲循环歌单又添新成员🤭 也期待11.08的直播呀。二十岁的朝暮都要和你分享 都要和你见面 白
",3900,11月5日 00:00,37842
5,"从因为遇见你开始 一路热爱音乐 忠于自己 每一首歌都承载着你的成长 谢谢你在这条路上一直坚持 宝贝 你真的超级棒 今晚的歌超级好听 编曲特别棒 你追梦 我们追你 一直唱下去
",1589,11月5日 00:00,37842
6,"合作曲《在哪里都很好》跨越时空用音乐对谈，成熟音乐人的生活体悟与青涩少年的日常感触交错重叠，在挫折与孤独中，找到“在哪里都很好”的豁达状态，曲风温柔，演唱者嗓音细腻清爽，完成了一场与自己及世界和解的对白。💚💚🌈🌈☁️☁️
",1384,11月5日 00:01,37842
7,"真的是越来越喜欢源源了。很喜欢他的音乐风格，喜欢他的一切。这世界上每个人都在追求着什么，会觉得自己很多地方不完美，可真正的完美是什么样子？每天忙碌而紧张，为的又是什么？陷入一次次的自我否定，迷茫，挣扎……可是换个角度，正是因为这些，我们的生活才不枯燥。不用去考虑那么多，我们每个人
",1304,11月5日 00:00,37842
8,"承蒙你的出现，够我欢喜好几年，完美是你，不完美亦是你，所以完美或不完美并不重要，只要是你就很好。
19岁的王源很棒，20岁的王源会更棒，你就是这样一个令人惊喜的男孩，把每件热爱的事都做到了极致，总是带给我们很多意想不到的惊喜和浪漫啊！
",1153,11月5日 00:00,37842
9,"歌曲开头的交替演唱像一场沉浸的对话，随后平行和声中两条轨道同步行进。王源演唱的主旋律作为低声部却丝毫不被压制，低音如静水流深，高音如星光点缀，两个声部交织而成为璀璨星河，相辅相成。他既有主歌舒缓的涓涓细流，亦在副歌的高音中释放泉涌，任何音符经过他的嗓音都是生命力的呈现。
",1119,11月5日 00:00,37842
10,"谢谢你又一次治愈我。明天很难找，最近自己陷入迷茫期，不知道前途是什么，不知道未来在哪里。想走好每一步，可总有一两道坎把自己绊住。不能对自己失去希望呀，我在遥远的这里，努力过好自己的生活，好好地去爱你。谁都不是完美的，无需要求自己成为完美的人，让自己活得快乐一些，在哪里都很好。
",956,11月5日 00:00,37842
11,"很开心这次王源和蔡健雅的梦幻合作。在哪里都很好～细腻温柔治愈的一首歌，很抓耳，第一句就被带入进歌曲了。王源作曲，他才20岁耶！创作能力越来越棒！太绝了！“我敢闯祸我敢放纵我思考 相信世界会为我骄傲”哥哥你就是很勇敢的人啊，相信在音乐这条路上，会收获很多会走的更远！我们都很好❤️
",950,11月5日 00:00,37842
12,"不是粉丝也是单曲循环的水平
",864,11月10日 18:26,37842
13,"在哪里都很好 顿时就被唱哭了 跟父母两代人彼此之间的世界并不难进入 只要有爱愿意了解 其实可以找到很多和父母的共同点 多回家看看跟父母交流 只要看着彼此眼里的爱意 一切都相通了 这首歌的共情力太强了 好感动
",767,11月5日 00:00,37842
14,"三个人里比来比去，我还是最喜欢王源。可能我这个人就是对有才华有文化的人更有好感。这首歌王源确实写的很不错
",711,11月11日 01:03,37842
