,1,0,time,comments_num
0,"第一次听这个歌是在高中附近的ktv，她唱这首歌時眉飞色舞的姿态感覺全世界都在发光，我好想亲她！结果唱完后她深深给了男友一吻，从此之后再没聽過这首歌，直到现在=_=
",37.1万,2015年1月5日,113738
1,"这个，你喜欢她还是喜欢他？
",19.8万,2015年2月6日,113738
2,"告诉我 不只是我一个男的这么喜欢千樺的歌
",16.4万,2015年6月10日,113738
3,"高一有一天午休吃完饭在教室看书，后桌的女孩跟我借耳机，我转身坐她对面笑嘻嘻对她说一起听，🍀她居然真就递了一边给我然后就自顾自趴着睡觉，当时耳机里响的就是这首歌，听到中间的时候看着她的侧脸觉得好好看，鬼使神差对着她嘴角就快速亲了一下，她突然坐起来看了我好久然后轻轻给了我一巴掌😆😆
",12.7万,2016年5月26日,113738
4,"应了那句 一吻便杀一个人
",80748,2015年3月21日,113738
5,"感觉会唱这歌的女生都是会发光的。。
",73773,2015年6月26日,113738
6,"除了两情相悦，其余的喜欢都是心酸。
",60988,2016年4月16日,113738
7,"我听过一首歌，杨千嬅的处处吻。我觉得很适合那个年代 像是哥哥的倾国倾城 像是小李子的深情不悔 像是王祖贤的风华绝代 像是林青霞的风姿卓绝 这些美人，一吻遍偷一个心，一吻便杀一个人。一吻便颠倒众生，一吻便救一个人
",52270,2018年8月1日,113738
8,"歌词错了，一寸吻感一寸金，不是一串敏感一串金
",34991,2016年2月5日,113738
9,"从描述中感觉这是在性骚扰……
",26907,2018年12月22日,113738
10,"林青霞喝酒 邱淑贞叼牌 王祖贤穿衣 张敏回头 朱茵眨眼 黎姿揭面纱 真的是美到爆 超喜欢那个年代的港星哎
",26603,1月3日 23:16,113738
11,"“和有情人，做快乐事，别问是劫是缘。”
",26385,2016年7月2日,113738
12,"你小心 一吻便颠倒众生
（内羞森 呀蛮冰盯豆中伤）
一吻便救一个人
（呀蛮冰高呀锅羊）
给你拯救的体温
（卡内轻高dei苔丸）
总会再捐给某人
（总微拽军卡某羊）
一吻便偷一个心
（呀蛮冰偷呀锅森）
一吻便杀一个人
（呀蛮冰杀呀锅羊）
一串敏感一串金
（呀群门港呀群刚）
一秒崎岖的旅行
（呀谬尅亏de
",20287,2019年12月15日,113738
13,"从前奏到千嬅开口一瞬间，莫名的悸动
",19040,2015年3月4日,113738
14,"用网易三年了，一直看别人的故事，从未发言，今天我想说说我的故事，我喜欢她，仅此而已。
",17779,2018年11月13日,113738
