,1,0,time,comments_num
0,"完整版我再准备准备 大家等我❤️
",22.4万,4月3日 11:06,218263
1,"人真的会反反复复喜欢同一个人.
",21.3万,4月3日 01:49,218263
2,"跟你在一起的时光都很耀眼，因为天气好，因为天气不好，因为天气刚刚好，每一天，都很美好。
——《孤单又灿烂的神—鬼怪》
",12.7万,5月16日 16:27,218263
3,"最想念哪个夏天呢
",86087,4月2日 00:04,218263
4,"给大家讲个故事叭
他和她从小一起长大
她好像从小就喜欢他
也可能是某种程度上的依赖 他对她很好
好到让她觉得这个男孩是属于他的
到了五六年级叭
她发现了他的小秘密
他好像喜欢上了班上的一个女同学
那个女孩温柔可爱
脸上总是挂着弯弯的眉眼
她第一次觉得男孩不属于她了
",78348,4月10日 19:11,218263
5,"太好听了！
",54932,4月2日 12:58,218263
6,"18年的夏天真让人怀念啊，等了很多年的爱情公寓在影院放映了，而这么多年的我们却分道扬镳了.
",41645,4月3日 08:33,218263
7,"火🐑夏天的风太有感觉了！！宝藏✨
",35707,4月15日 16:53,218263
8,"成為更好的人 這是新的約定. 所以我去再搞一套卷子！！！
",27872,4月2日 23:21,218263
9,"2018年
",26318,4月2日 00:05,218263
10,"希望这个夏天，妈妈切的西瓜没有蒜味，希望这个夏天凉快一点，蚊子少一点，希望这个夏天，有心动；有例外；有偏爱，希望这个夏天，大家快乐多一点，烦恼少一点。
",25192,5月31日 20:50,218263
11,"是的
这是我这个普通女孩子的青春
自有悲伤自有荣光
我和他很好
以后会更好
故事就结束了
愿你们喜欢的人 眼里只有你 心里只有你.
从一而终
",21420,4月11日 20:38,218263
12,"好像“我们”都能听懂歌里的故事，我们都懂歌里的表达，就“你们”不懂。
",19136,4月25日 17:22,218263
13,"快点开学吧
我慌得一批
还有几个月中考
作业是抄的
网课旷了俩月
清醒的堕落
我不行了
",18903,4月20日 22:31,218263
14,"你们能想到这是周杰伦十五岁作出来的曲子
",15763,5月3日 22:53,218263
