,1,0,time,comments_num
0,"人人都是多情种
",74607,2019年10月22日,60555
1,"原著名《是我在多情种》
后更名《多情种》
原著词曲",67493,2019年11月12日,60555
2,"我不能爱上海与天津，因为我心中有个北平。
——老舍《想北平》
",59798,2019年10月22日,60555
3,"后来才懂了这句话，不是我配不上你你配不上我。而是，我配不上你的风情万种，你配不上我的深情专一。
",42595,2019年10月24日,60555
4,世界上最糟糕的感觉,39933,2019年10月24日,60555
5,"我和喜欢的人聊天，她说不聊了我先吃饭了。
我一怔，因为自己正一边打字，一边趁她回复的间隙胡乱吃口饭。
那时候才觉得自己方寸大乱。
她不过是在有条不紊的生活出现空档的时候，和我打发打发无聊罢了。
而我用全部的时间去爱她，抽空才生活。 
",34072,2019年10月24日,60555
6,"“热爱到什么程度才敢错过千万次都想重来”
",27792,2019年10月24日,60555
7,"我换手机了，
终于，
我的输入法不记得你了
",17768,2019年10月26日,60555
8,"很多事情只是在恰巧的时间恰巧的发生了，别多想，别多情.
",5849,2019年10月26日,60555
9,"看十遍甄嬛传都不敢看一遍如懿传.
",5519,5月24日 20:50,60555
10,"味道不同。
",5390,2019年11月12日,60555
11,"很喜欢老师的歌 蟹蟹老师的喜欢
",4917,2019年11月12日,60555
12,"她空间公布对象 情头也挂上了
我费尽心思找到那个男孩的资料 看了很久 心里想着怎么可能啊 猛的一下突然就明白了
",4776,4月25日 12:59,60555
13,"我的男朋友很帅，他七夕会给我买花，会给我买礼物，睡觉会习惯抱着我，晚上上班回来会自己悄悄上床，不打扰我，他上班我上学，我放学他来接我，但是在街上总有人对我们指指点点，因为我是男孩子
",4169,8月27日 14:27,60555
14,"青菜萝卜各有所爱吧，我就觉得这个版本好听，很安静，耐听，对于我来说更容易进入那种氛围
",3503,2019年11月12日,60555
