,1,0,time,comments_num
0,"尊重粉丝，尊重自己，尊重故事，尊重经历。
",72.6万,2019年3月11日,334297
1,"有些人很奇怪,不爱你还不放过你.
有些人更奇怪,爱你还放过你.
",41.7万,2019年3月11日,334297
2,"你眼里有春有秋 胜过我见过爱过的山川河流
希望
我们都是
苦尽甘来的人
但愿殊途同归 你能与我讲讲来时的路.@範雨桐-
",19.6万,2019年3月11日,334297
3,"枕头里藏满了发霉的梦 梦里注满了无法拥抱的人
",17.2万,2019年3月11日,334297
4,"该经历的都经历了，老天是不是该派个知心的人给我了。
",10.7万,2019年3月11日,334297
5,"外界事物纷至沓来 我敞开所有感官接纳 来者全是客
",80016,2019年3月11日,334297
6,"你眼里有春有秋 胜过我见过爱过的山川河流
希望
我们都是
苦尽甘来的人
但愿殊途同归 你能与我讲讲来时的路. 
",72845,2019年3月11日,334297
7,"我给你自由了 你把你的快乐还给我吧
",71982,2019年3月14日,334297
8,"加油阿，樊～
",55100,2019年3月11日,334297
9,"理想中的生活最终输给了现实中的诱惑 既然做了选择那就别回头
",43070,2019年3月11日,334297
10,"世界上有很多的东西，你生不带来死不带去。与其期待四方，不如珍惜眼前。人生很短，短得来不及回忆；生活不易，一辈子总是坎坎坷坷。
",34068,2019年3月11日,334297
11,"我非常想…愿你今后安好
",33246,2019年8月20日,334297
12,"开始她是背影，后来她依旧是背影！
",28714,2019年3月24日,334297
13,"在我的世界里，你的出现让我明白了什么是陪伴。我还记得你说过的这句话“从前车马很慢，一生只够爱一人。”我想做那个人，和你一起携手走完这一生。我知道以后会经历各种困难，但我想跟你并肩同行。和你有着耳鬢厮磨的爱情。 春意渐浓，想你、念你、陪你、爱你。
",26581,2019年3月11日,334297
14,"我爱你
",25255,2019年3月11日,334297
