,1,0,time,comments_num
0,"我记得有个哥们儿说过愿意用十年寿命换清水唱的《大天蓬》完整版，我现在授权给她了，你恨我不？
",43076,3月25日 01:06,11700
1,"“我将留下自己一半的法力，作为结界。抵挡妖魔，保高家庄无虞。宝儿，这是我能送你的最后一件东西。”
",12345,3月25日 00:13,11700
2,"戴上金箍，无法爱你，不带金箍，就不能救你。对不起紫霞！
——至尊宝
拿回钉耙，无法爱和拥有你，离钉耙，就不能保护你。对不起宝儿！
——天蓬
",11710,3月25日 00:17,11700
3,"我愿意用十年寿命换清水唱《大天蓬》完整版！
",7265,3月26日 07:38,11700
4,"她嫦娥不过是个舞女领班，而天蓬却执掌十万天兵，怎就配不上她了
",5392,7月19日 00:18,11700
5,"兄弟，谢谢您
",4739,3月25日 08:36,11700
6,"宝儿爱上天蓬的时候天蓬从未动过情，可当天蓬发现动了情却已被贬下凡，可叹他要手刃爱人才能回归神位，天蓬不愿，便与宝儿结亲，哪知宝儿已知真相，愿天蓬回归神位而自己香消玉损，不知最后天蓬终是没回归神位，伴唐僧取经留一半的法力守护高家庄，只为那个很像她
爱而不得，真的是天下最讽刺的
",4121,3月25日 00:03,11700
7,六耳猕猴悄悄对悟空说,3565,7月9日 12:49,11700
8,"大家不要被骗了，这首歌词是抄的，真的，我在新华字典里查过了，所有字都一模一样，只是顺序乱了。
",3174,4月14日 21:47,11700
9,"哈哈哈哈，果然是好兄弟
",3097,3月25日 08:52,11700
10,"唐僧错过了女儿国国王
孙悟空错过了紫霞
八戒错过了宝儿
这三断经历，十分相似，是啊，每个人的成长之途，都有让自己流泪，不可磨灭的故事发生，没有爱情是完美的，错过就没有了，上天不会给我们重来过的机会，也许我的评论会被埋没 但我希望的是，愿天下的有情人能，能在一起，不分离
",2883,3月25日 00:02,11700
11,"恭喜那位兄弟成功折寿
",1917,3月25日 10:05,11700
12,"祝福哪位兄弟/
",1781,3月25日 09:29,11700
13,"意思是，六耳猕猴给送悟空一个机会，让六耳猕猴代替孙悟空去西天取经，而真正的孙悟空就可以解放了。应该是这样
",1517,7月13日 21:10,11700
14,"大家期待已久的歌～弹唱和这个版本又是不一样的感觉～你们喜欢嘛～
",1327,3月25日 14:55,11700
