,1,0,time,comments_num
0,"最让我难过的感情大概是 明明你不喜欢我还要耗着我 又在我准备忘掉你的时候又出现...
",23.8万,2019年12月30日,205074
1,"非常喜欢王心凌的《大眠》，也感谢网易云帮助获得了正版授权，重新演绎。非常感谢大家的喜欢，谢谢大家的支持～以后会出更好的作品
",20.6万,1月5日 11:41,205074
2,"短短17秒 我却循环了一晚..
",13.4万,2019年12月31日,205074
3,"“人也总是会执着于第一眼喜欢的东西”
",97868,1月1日 11:51,205074
4,"这烂透的2019年总算要结束了
",81963,2019年12月31日,205074
5,"你让我觉得 我是这个世界上最差劲的女孩子
",70115,2019年12月31日,205074
6,"人会变的温柔是因为透彻的懂了
",59675,2019年12月30日,205074
7,"我依赖于你做不到没有你在身边的向前看我特别想你所有思绪都一点一点奔向于你我沉醉于你请求让我继续再更好的去爱你我痴迷与你从开始在一起就只想要你一个
我只想等你
不想对你留有遗憾想继续陪伴
我想你幸福
宠你爱你保护你像个孩子一样
我想睡好觉
不靠药物控制想依赖你的晚安
我真的想你🧸
",50337,1月5日 23:23,205074
8,"你当然不会知道我有多想你
",50047,2019年12月31日,205074
9,"好像最喜欢的是花两元坐公交车 坐在最后一排靠窗戴着耳机 听着网易云 看着窗外倒退的风景 想着过去和现在
",45849,1月5日 11:10,205074
10,"你一副不缺我的样子
我怎敢深情
",38210,2月12日 17:30,205074
11,"扑面而来的坏情绪会淹没我.
",34068,2019年12月30日,205074
12,"今晚还好有这一段声音陪我
",16554,2019年12月31日,205074
13,"你說 2020真的會比2019好嗎
",16540,2019年12月31日,205074
14,"又是一个单曲循环的晚上
",12664,2019年12月31日,205074
