,1,0,time,comments_num
0,"哈哈哈哈哈哈哈让歌词滚动的也太可爱了吧
",76883,2019年9月4日,44251
1,"如果歌词可以滚动了记得我花了五个积分
",76601,2019年8月30日,44251
2,"合法了我们就结婚 如果一直不合法 我们就一直恋爱
",70164,2019年10月3日,44251
3,"你嘴上唱着天下 句句却是想她
",41665,2019年10月15日,44251
4,"“上帝 麻烦你派个真的爱我的人来守护我” “我早就派了啊 但你说只想做朋友”
",32703,2019年10月19日,44251
5,"为了你的迪奥和你的奥迪还有孩子的奥利奥我必须努力
",22966,2019年11月6日,44251
6,"这首歌句句不离她，歌名却叫天下。
",19611,2019年11月12日,44251
7,"对不起，真没用，两年了还是没和你在一起2019.10.25 喔对了，今天我生日，你的祝福也没有来
",9401,2019年10月25日,44251
8,"一定要幸福！
",8848,2019年11月8日,44251
9,"我求求你 对我好一点 好不好
",6608,2019年11月12日,44251
10,"你明明那么善良 为什么在人际交往方面太过自卑 以致以稍感到被冷落就想离开对方
",6249,2019年12月3日,44251
11,"最近城里有个杨姑娘在卖身葬父。
王公子经过，把她买了，目的简单——家里缺一个洒扫的佣人。结果还不到一晚上，姑娘就趁夜逃了。
王公子想不通",5321,5月4日 15:46,44251
12,"张杰唱的是激情，高鱼唱的是悲伤
",4922,4月17日 23:52,44251
13,"这首歌养活了多少玩曜的大神
",4510,4月13日 20:38,44251
14,"省一橘右京能不听这歌？
",4214,6月28日 12:06,44251
