,1,0,time,comments_num
0,"你有这种期待 我有这种打算 但是 天外来物 不算大招吗...
",36.3万,7月22日 16:38,423684
1,"“世界上终有一个人能降服你 妖怪”大概这个意思
",29.7万,7月22日 16:54,423684
2,"看灵感了 疫情 mv也不好拍 看情况吧
",23.8万,7月22日 16:14,423684
3,"这个我同意 哈哈
",19万,7月22日 16:13,423684
4,"弄到好 不好不出门的心情
",17.9万,7月22日 16:13,423684
5,"老薛717生日快乐...谢谢你 写了这么多好歌... 谢谢你 唱歌时那么深情...
",16.2万,7月17日 00:39,423684
6,"说明你心里有这个人的 只是还没得到 是好事 有目标就是好事 不管是爱情还是工作 没有目标了我们就完蛋了
",15.2万,7月22日 16:35,423684
7,"漫漫宇宙是世界浪漫的起源
",14.2万,7月17日 00:00,423684
8,"“世人皆论你风趣幽默 却未曾见你手捧星辰对我说我们互相拯救”
",14.1万,7月17日 00:00,423684
9,"啊 看来看去没意思 明年训的时候见哈
",13.3万,7月22日 16:12,423684
10,"谢谢你们哦 不要为我做累到自己的事情 听歌就好了哈 跑来跑去只有巡演的时候可以 记得
",12.4万,7月22日 16:18,423684
11,"我头发本来也不好 所以没关系了
",11.8万,7月22日 16:44,423684
12,"你们稍微慢一点 我来不及看 会散光的
",10.5万,7月22日 16:46,423684
13,"我想拥抱你的 但是没有这个表情 哈哈
",10.1万,7月22日 16:34,423684
14,"了解我哦 哈哈 有的
",10万,7月22日 17:00,423684
