,1,0,time,comments_num
0,"感谢大家，阿冗只是一个没学过音乐普通上班族，希望歌声能陪伴大家。 2019年，大家都会找到喜欢的那个人陪你。
",15.3万,2019年2月3日,72162
1,"你为何要找那么多的借口，我又不是不让你走。
",68956,2019年2月3日,72162
2,"“爱的多的人总先掉眼泪”
",45897,2019年2月4日,72162
3,"好的歌只会在无意间听到
可人们会贪心将其循环
直到有一天厌烦了 便丢弃在一边
仔细想想遇到的人不也是如此
",33841,2019年2月5日,72162
4,"恭喜前任，喜提对象，无缝衔接，普天同庆！
",32281,2019年2月14日,72162
5,"凌晨四点钟，我看见海棠花未眠。
总觉得这时，你应该在我身边。
——川端康成 《花未眠》
",27212,2019年2月19日,72162
6,"无法割舍的人
既没有给你刀 也没有给你拥抱
",19319,2019年2月22日,72162
7,"有几次我满怀热情 你却心不在焉
后来你想像我吐露心声 我也视而不见了
这段关系是我们一起搞砸的 谁都难辞其咎
",18764,2019年2月4日,72162
8,"我最怕发现我有想要的东西了
",14768,2019年2月20日,72162
9,"你看，哭到泣不成声的是我，在黑暗角落红着眼的是我，嫉妒你身边的女孩嫉妒到扭曲的是我，乐观和洒脱都给你夺走了，你能不能可怜可怜我，放过我 。
",13241,2019年2月4日,72162
10,"终于在除夕夜听到了你已结婚的消息
怎么说，没有痛哭流涕 没有伤心欲绝
只是把有关我们的过去回忆了一遍
然后默默的删掉了你，关于我们的2018统统都说再见吧
祝你幸福美满
祝我余生不孤单
",8848,2019年2月5日,72162
11,"在年初一那晚
我花了二十三元
在路上看到关系变淡的朋友正在稍急地跑去与别人赴会
又看到了以前如胶似漆的闺密在陪着别人游玩
仿佛也回不去以前了
走了也好久也看了很多想见的人了
但就是还少了什么人
你看啊别人都有自己该有的事去做了
我找不回你们了
",6391,2019年2月7日,72162
12,"单数去找她复合，双数就不去打扰她了
",5082,8月29日 03:21,72162
13,"我突然后悔为什么是个体育生...？
",4831,2019年2月6日,72162
14,"很喜欢你的声音 💗能听就很开心了
",4517,2019年2月3日,72162
