,1,0,time,comments_num
0,"对不起 我做不了你的太阳了
",16.4万,2019年8月22日,82770
1,"我才不想做你的太阳 我想做你的月亮 在你每一个难熬的夜晚都陪着你
",11.1万,2019年8月28日,82770
2,"数学题真的很难，可我想带妈妈去更远的地方
",10.8万,2019年10月16日,82770
3,"你的女朋友有缺点吗？
“有，像星星一样多。”
那你的女朋友有优点吗？
“有，像太阳一样少。”
那你为什么还喜欢她？
“因为太阳一出来，所有星星都不见了。”
",61008,2019年10月18日,82770
4,"“ᴵ ʲᵘˢᵗ ʷᵃⁿᵗ ᵗᵒ ᵇᵉ ʸᵒᵘʳ ˢᵘⁿ”
",47269,2019年8月23日,82770
5,"“天总会亮的，没有太阳也会亮的。”
",39451,2019年9月7日,82770
6,"球球了 完整版快出来吧
",30787,2019年8月26日,82770
7,"“太阳请不要晒黑我的皮肤，
请晒黑我爸爸妈妈的头发”
",24916,2019年10月27日,82770
8,"我只想做的你 太阳，我等着你
",19423,2019年9月13日,82770
9,"你走了我整个世界都暗了 你就是我的太阳
",17311,2019年9月7日,82770
10,"我要努力，我要变得优秀，我要做你的太阳，把你照亮
",10451,2019年9月14日,82770
11,"如果可以 我想做你的太阳
",9088,2019年9月8日,82770
12,"做她的月亮叭
",8706,2019年8月22日,82770
13,"🔆可维修
🌙可更换
💫不闪包退换
",7012,2019年8月22日,82770
14,"只想做你的太阳
",5861,2019年10月11日,82770
