,1,0,time,comments_num
0,"打个编曲卡，哥哥姐姐们唱的太好听了！
",36万,2019年5月19日,160147
1,"这是什么神仙阵容
作曲",25万,2019年5月19日,160147
2,"半只脚就要迈进高三的人
沉溺生活中那么多情愫
我知道你会看见
我很爱你
",17.8万,2019年5月19日,160147
3,"“我想…” “好” 
",13.2万,2019年5月19日,160147
4,"我想和你
在稻城亚丁相遇
在丽江古城相拥
在巴黎铁塔相恋
在捷克布拉格相吻
在希腊爱琴海相爱
在往后余生相守
",12.2万,2019年5月19日,160147
5,焦迈奇,87554,2019年5月19日,160147
6,"这都是什么神仙组合？！
",86490,2019年5月19日,160147
7,"我在深夜的低空飞行 频繁触及星空时并不关心月亮与星星，我只关心你怎么还不来问我怎么还没睡
",56798,2019年5月19日,160147
8,"在年轻的时候 , 如果你爱上了一个人
请你 , 请你一定一定要温柔地对待他
长大了以后 , 你才会知道 , 在蓦然回首的刹那
没有怨恨的青春才会了无遗憾
如山冈上那轮静静的满月
",45965,2019年5月19日,160147
9,"我想和你 一起看日出到日落天气@依依
",41255,2019年6月9日,160147
10,"“ 跟 我 走 吧。” “ 或 者 我 跟 你 走 ”
",37960,2019年5月19日,160147
11,"¨今天和喜欢的人说了一句话¨
“说了啥？”
“今天和喜欢的人说了一句话”
",28313,2019年5月29日,160147
12,"我再也不会害怕去打扰你的生活宝贝，只要你还在哪里等候，无论生命多么漫长，我想和你在一起。
",19224,2019年5月19日,160147
13,"我想和你
我想和你在一起 我想和你做属于我们的事 我想和你漫步在美丽的塞纳河畔 我想和你去美丽的土耳其 我想和你在在阳光普照的热气球上 失眠飞行
",18248,2019年5月19日,160147
14,"弟弟编曲太好听
",16530,2019年5月19日,160147
