,1,0,time,comments_num
0,"我太喜欢这首歌的留白处理了，
太喜欢突然停顿的窒息感，
那空白的几秒，
就好像是留给听众消化情绪的时间，
或哽咽，或屏息，或大口呼吸，
或感知世界的心跳，
或在地上捡起七零八落的自己( o̴̶̷᷄ ·̫ o̴̶̷̥᷅ )
",30.7万,4月3日 21:45,337167
1,"“好想爱这个世界，
好想被这个世界爱”
任何一点真诚的陪伴都能成为他们巨大的力量@华晨宇yu
",16万,4月3日 21:45,337167
2,"花花真的是个很温柔的人，自己也曾在黑暗中挣扎，这些年，他走过了黑暗，成长，还以音乐的方式，温柔以待这个世界，拯救还在黑暗中挣扎的人。
整首歌歌词温暖细腻，深入人心，总有一句能触碰到你的内心泛起涟漪，希望大家都能找到自己的光芒，勇敢爱这个世界~当阴霾散去时，阳光会再次光临💪💪💪
",15.3万,4月3日 21:46,337167
3,"夕阳西下，接通电话，是你呀❤️❤️
",93910,4月3日 21:45,337167
4,"当他告诉你你生病了，说明他把你当做很重要的朋友，请用心关爱他，陪他一起走出阴霾，让他的时间充满色彩❤️
",67315,4月3日 21:45,337167
5,"世界的美好不曾终结，希望的光亮从未湮灭。
我是因为小爱入的坑，小爱对我来说有非常特别的意义，小爱给黑暗的日子照进来一道光。不，是太阳！是太阳般的对生命的热情洋溢！
花儿一样的少年，热爱音乐的音乐鬼才，独立坚强的人格，或许是因为花花活出了我想要的样子，所以我真的太喜欢他了
",57037,4月3日 21:45,337167
6,"#华晨宇好想爱这个世界啊#
如果你的人生曾被阴霾笼罩，华晨宇新歌三部曲中的《好想爱这个世界啊》或许会为你拨开云雾。旋律是一道光，华晨宇所创作的音乐一如既往的温柔，替你抚慰过往的伤痛，愿这世上每一个活在阴霾下的人们可以抛弃过往，别怕，未来的路上步满光芒，国王的歌声永为你停留。
@华晨宇
",33600,4月3日 21:45,337167
7,"“你这儿的人，在一座花园中种出五千朵玫瑰，却没能从中找到自己要找的东西.”——《小王子》周克希译版
还好，这世界那么大，我还是找到你了.@华晨宇yu
好想爱这个世界啊 或者 好想被这个世界爱啊.
这个世界上美好的事情有很多
因为你说过
“毕竟我们只有一生这么长，要用力给人间留下些印象。”
",31740,4月3日 21:45,337167
8,"如果是花花的现场 我想我一定会落泪
",26814,4月3日 21:46,337167
9,"夕阳西下 接通电话 是你啊。我也好想爱这个世界啊❤️花花日光长明，即使在深夜崩溃，也能从歌声中自愈🌸听完这首去刷题了！😆
",22787,4月3日 21:45,337167
10,"“接通电话，是你呀～”
一定要努力攒钱去听花花的演唱会呀
现场版，我爱了。
",19423,4月3日 21:46,337167
11,"你从无数个暗夜里挣扎着爬起了身
而后 迎向晨光 披着一身坚韧与温柔 你说希望你听了 能好一点 你只是说 能好一点 只是一点 就是他最大的希冀了
可你知道吗 当你唱出伤疤都丢给回忆吧的时候 就有无数个与你一般孩子 笨拙地同你一样 迎向晨光 至少 我是这样 至少 我们都是这样
",18813,4月3日 21:45,337167
12,"我刚刚哭了
原因特别可笑
做一道数学计算题
算了好久
结果选项里没有那个答案
",13388,4月20日 21:49,337167
13,"我爸一直都不喜欢华晨宇
今天和他看歌手
大哥唱之前我摇了摇我爸
“这首歌贼好听”
我爸",12634,4月3日 22:31,337167
14,"想过离开
当阳光败给阴霾
没想到你会拼命为我拨开
曾想过离开
却又坚持到现在
熬过了 那些旁白 那些姿态 那些伤害
不想离开
当你的笑容绽开
这世界突然填满 色彩
",9916,4月3日 21:46,337167
