,1,0,time,comments_num
0,"如果当时2020（爱你爱你）
",36623,11月11日 00:14,130438
1,"可能现在歌单里多了很多新的歌 但总是突然就想听许嵩了 偶尔街上听到他的歌都会很开心 可能这就是青春吧。
",27056,11月11日 00:07,130438
2,"希望这首歌曲 能在这个寒冷的冬天 带给大家一种 温暖的感觉
",17617,11月11日 00:29,130438
3,"说起来已经过去好多年了 高一的时候听同学唱《断桥残雪》 听起来还不错的样子 后来又偶然间听到《山水之间》 感觉特别好听 后来就慢慢知道了许嵩 特别是苏格拉没有底 里面的歌都听了好多好多遍 喜欢许嵩后出的第一首新歌是《今年勇》 当然也是喜欢好一段时间后了 当时内心狂喜 化石复活的
",8947,11月11日 00:00,130438
4,"嵩哥把了liao改成了le，百度一下，，liao是完结的意思，代表一种惋惜，而le是动作完成，是一种淡然。
",8000,11月11日 05:26,130438
5,"一下回到09年
",7656,11月11日 00:00,130438
6,"仔细听！《如果当时2020》最后一段有三段音轨，一段是现在嵩哥唱的，一段是黄梅戏女声唱的，还有一段是十一年前调皮的嵩哥单唱的那版！！
三段混音，时空穿梭，若古若今。我鸡皮疙瘩掉了一地啊，梦回2009！！！
",4930,11月11日 00:26,130438
7,"老歌可以新唱，旧人却不可重提
",3110,11月11日 00:22,130438
8,"安徽安庆人真的哭了一开口浓浓的家乡味道！！！欢迎大家来安庆听黄梅戏呀！！！安徽不只有老许的老家合肥！！！还有很多好吃好玩好看的！！！大家要来！！！
",2923,11月11日 00:05,130438
9,"11年前第一张专辑《自定义》里编号01的歌曲。
别人凌晨12点剁手，嵩鼠12点听老歌新唱！
与许嵩永远如初见~💙
",2437,11月11日 00:00,130438
10,"11.10，最后一分钟，在马云和许嵩之间，选择了我本命
",2192,11月11日 00:02,130438
11,"当时嫌他的唱法做作，现在听起来竟然很生动。
",1486,11月11日 00:56,130438
12,"“每当我想到古今中外一些我所喜爱的的音乐人在四五十岁才写出一生的代表作，我就很清楚自己在年纪上还是个新手，还有的是时间和机会去突破，去创造，于是我气定神闲，不慌不忙。一步一个脚印走稳就可以了，好戏在后头。” ——————许嵩
",1296,11月11日 00:01,130438
13,"新歌10W+，可能这就是许嵩吧
",1256,11月15日 07:59,130438
14,"抗癌第8天，身体一天比一天不舒服，但是我不会像命运低头！因为我想看到明天的日出。
",1206,11月15日 11:15,130438
