,1,0,time,comments_num
0,"一个人去游泳，像投河；倒过来，一个人去投河，像游泳，太孤独。 ———-陈小三
",21442,10月8日 18:22,45920
1,"年底前应该会单曲循环到一万遍吧
",17264,10月8日 14:02,45920
2,"自己一个人蹲在大街，感到了孤独，无奈，无助，绝望。然后我竟然哭了，失去了太多。
",11868,10月8日 15:16,45920
3,"你我何不犹如一条孤独的小舟，摇曳在这风雨中；茫茫的大海看不到尽头，也没有地方停留，哪怕风浪打湿了额头，也只能拼命的往前游。
",8403,10月8日 12:06,45920
4,"很多时候我们对孤独的理解都是""一个人"" 其实不是 即使一群人也会感到孤独 因为孤独不是外在的 而是内在的 新说唱上的时候紫棋就演唱了合作版 但这次完整版更凸显出了紫棋强烈的个人风格，说唱和唱腔的融合让我听到了《Life is a struggle》的影子
",7893,10月9日 16:30,45920
5,"紫棋写过的歌里，
“孤单” 两字出现过 5 次；
“孤独” 两字出现过 12 次；
“寂寞” 两字出现过 24次。
“白天 我总笑容满面
为什么每夜 我总辗转难眠”
《孤独》
",6128,10月8日 12:03,45920
6,"我怎么感觉他上了个新说唱以后，她自己才是进步最快的选手...
",5343,10月8日 12:37,45920
7,"荣耀的背后刻着一道《孤独》Ah ya ya check it check it ah ya解解写的“《Life's a struggle》”爱了爱了
",2722,10月8日 13:00,45920
8,"原谅我听出了周董的味道
",2673,10月14日 13:45,45920
9,"我已经变得热可炙手
但优秀还是没有为我带来自由”
邓紫棋-《孤独》
",2582,10月8日 12:01,45920
10,"这才是中国新说唱女导师应该有的水平，今年新说唱没有紫棋真的很可惜！
",2548,10月12日 21:58,45920
11,"原来孤独
是灯光下
所有人都对我佩服
但月光下
却一直害怕自己退步
-G.E.M. 邓紫棋《孤独》
",1489,10月8日 13:16,45920
12,"邓紫棋直接把我对说唱的审美推到了顶峰，太会了
",1453,10月15日 07:57,45920
13,"能别为了评论而评论吗……年底不到100天，每天你得听100多遍，一首歌算4分钟，一天400分钟。粗略算至少一天听7小时，这还是保守算..
",1279,10月8日 17:00,45920
14,"确实 她太聪明了 学什么都会还学得快。。。
",1194,10月8日 21:47,45920
