,1,0,time,comments_num
0,"我总是一个人。
",36.2万,2019年5月16日,194268
1,"“只要有想见的人，就不是孤身一人” ——《夏目友人帐》
",30.3万,2019年5月16日,194268
2,"现在是5月16日，距高考22天。
我也开始本能地害怕。
学习没学好，和几个同学的关系也没处理清楚，成为一名League of Legends职业选手的梦想更是遥不可及。
不喜欢什么“乾坤未定，你我皆是黑马。”
总要为慵懒买单。 19届考生加油！冲鸭！
",15.3万,2019年5月16日,194268
3,"“如果顺利的话，我会买一个公寓，养一只柯基，一只英短，孤身一人，自由且满足地度过余生。”
“若是不顺呢？”
“结婚生子。”
",12.7万,2019年5月16日,194268
4,"“心有不甘，却无以为继”
",10.5万,2019年5月16日,194268
5,"“要变得温柔和强大，就算哪天突然孤身一人，
也能平静地活下去，不至于崩溃。” —— 新海诚《言叶之庭》 
",10.1万,2019年5月16日,194268
6,"你要记得那些黑暗中默默抱紧你的人
逗你笑的人 陪你彻夜聊天的人
坐车来看望你的人 带着你四处游荡的人
说想念你的人
是这些人组成你生命中一点一滴的温暖
是这些温暖使你远离阴霾
是这些温暖使你成为善良的人
",62653,2019年5月16日,194268
7,"没有人会太关心你除非你很漂亮或濒临死亡。
",59332,2019年5月16日,194268
8,"因为喜欢你 所以想借着你的光 去看一看从未见过的世界
",47529,2019年5月16日,194268
9,"别再让我等你了
你来找我吧
",39609,2019年5月16日,194268
10,"我害怕一个人，却又在人来人往的城市独来独往。
",35193,2019年8月7日,194268
11,"有人说光速靠近你的人，有天也会以光速离开，是对的，但不完整，因为许多慢慢靠近的人，也会以光速离开，漫漫人生，孤独是常态，万般皆苦，唯有自渡。
",26888,2019年5月16日,194268
12,"来的时候孤身一人
走的时候孑然一身
",24683,2019年5月16日,194268
13,"别再让我孤身一人
",21825,2019年5月16日,194268
14,"占楼
""世界上本就没有感同身受这种东西""
""每个人都是第一无二的 那么请问哪来的感同身受这回事嫩？""
""既然不是完全一模一样的 那么还是会有不难为解的东西""
""我不懂你 你也不必说懂我""
""性格如此""
",11678,2019年5月16日,194268
