,1,0,time,comments_num
0,"有些人觉得评论装逼矫情，却不知道他们用了多少气力把情伤写成看似平淡无奇的句子。可以不懂，但还请不要妄自评价好坏。
",27.8万,2015年1月3日,114404
1,"你喜欢一个人，就像喜欢富士山。你可以看到它，但是不能搬走它。你有什么方法可以移动一座富士山呢？回答是，你自己走过去。爱情也是如此，逛过就已经足够。
",20.5万,2014年10月13日,114404
2,"人这辈子，最害怕突然把某一首歌听懂了
",12.5万,2016年3月4日,114404
3,"""试管里找不到它染污眼眸""取自英文句子——can not identify sadness through test tube。悲伤不是一种实质的东西，不能从试管里(化学，比喻真实的物质)里提炼出来，既然如此，为何不把这种感觉当成是虚构的呢？
",77526,2015年4月24日,114404
4,备胎三神曲,69916,2016年1月6日,114404
5,"后来我也想通了，就像我爱海，我也不能跳海
",55793,2016年2月17日,114404
6,"其实，你喜欢一个人，就像喜欢富士山。你可以看到它，但是不能搬走它。你有什么方法可以移动一座富士山呢？回答是，你自己走过去。爱情也是如此，逛过就已经足够。
",42161,2014年10月7日,114404
7,"得不到的永远是最好的，其实哪里有你想的那么好？
",37460,2014年10月10日,114404
8,"大学时我前桌的你阳光依然在梦中穿过你的黑发。从分开后我用了七年还清了父母的欠债，今天买了机票飞去哈尔滨偷偷看你，就像当年在食堂、图书馆那样偷偷的看着你，你有了丈夫和一个美丽的小公主真心的祝福你！这是最后一次听这首那时候我们最喜欢的歌。我爱你
",34199,2016年1月6日,114404
9,"十年浮夸终成孤独患者，明年今日相约富士山下。
",33533,2015年7月19日,114404
10,"这首歌不能在人前听，真的会哭啊。谁能凭爱意要富士山私有？喜欢他就像喜欢富士山，你满腔爱意却永不能拥有。他风姿葳蕤是他的事情，你求而不得是你的事情。世间那么多的山川河流，你偏爱这一座。初见惊艳的那一刻，你就失去它了。要拥有必先懂失去怎接受。虽不能拥有你，但希望你恒古不变，芳草长青。
",27350,2015年4月18日,114404
11,"你每次都是用力过猛，感情刚开始，你便奋不顾身，背水一战，不留一点儿后路。而对方，却不显山不露水，给予的恰到好处。哪怕分开多年后，你仍不知自己输在哪里。
",22854,2018年4月10日,114404
12,"那天你喝醉了，在台上说哇我喝了好多酒哇谁都认不出来啦。而我在桌边努力的吃菜。我呀，我是小学帮你集魔法士卡片的喽啰。我是初中三楼楼道飞奔接住你的大侠。我是高中陪你泡肯德基夜场的道友。我是大学给你寄了那天黑裙子的菩萨。我是在你这婚礼上红着眼祝百年好合的败狗。
",20851,2019年2月6日,114404
13,"三角恋的故事《富士山下》是那个被爱的男的规劝女方忘了他 《爱情转移》是那个被抛弃的备胎自我述说
",20095,2014年10月10日,114404
14,"归家需要几里路谁能预算
",16849,2014年10月6日,114404
