,1,0,time,comments_num
0,"在所有明显 公布恋情的文案中 我还是喜欢薛之谦那句 “再爱一次吧”
",24172,3月3日 01:05,19933
1,"好歌永远没有完整版。
",13802,3月2日 16:07,19933
2,"清理缓存可以听完整版 [多多耍酷]
",6221,7月5日 18:08,19933
3,"第1任:付菲 第2任:孟英美 第3任:张思琪 第4任:周灵 第5任:李沁 第6任: 郭露瑶 第7任:程安琪 第8任:刘欢 第9任:何彤 第10任:闫鹏桢 第11任: 文婷 第12任:张潇洒 第13任:王苗苗 第14任:陈佳佳 第15任:田苗 第16任:车园露 第17任:李瑶 第18任:孔李月 第19任:罗雨 第20任:陈朵艳
",3859,7月26日 11:22,19933
4,"没关系没关系没关系没关系没关系没关系没关系没关系没关系没关系你超级可爱的你值得没关系没关系没关系没关系没关系没关系没关系没关系没关系没关系没关系没关系没关系没关系没关系没关系没关系没关系没关系没关系没关系没关系没关系没关系没关系没关系没关系
",3260,4月18日 11:08,19933
5,"“后来者居上 是因为前者无能”是我听过最毁三观的话.
",3044,7月13日 16:28,19933
6,"一辈子有多长？
168天
为什么
她说过要爱我一辈子的
",2675,4月9日 22:10,19933
7,"我好害怕以后娶我的男孩子，喝醉了酒红着眼眶对他兄弟说: “我没有娶到我最爱的女孩子。”
",2529,8月20日 17:15,19933
8,"班上的一个男孩子口口声声说喜欢我
也口口声声说要追我
但是我有一周因为感冒四天没有来
因为住校所以周天去学校
去的时候我发现他对我爱理不理的
没错，他喜欢上了别的女孩
那个女孩和我的关系也算好 现在啊，
他会上课看我
但是不会在下课找我
他会在下课找她
但是不会在上课看她
（字数上限，害）
",2496,6月25日 22:14,19933
9,"我这一生有四个挚爱一人
一个，葬于贝加尔湖畔，已逝
一个，困在东国仓迪，未归
一个，万剑穿心，不悔
一个，魂灭乱葬岗，至今未回
",2448,8月6日 20:32,19933
10,"男友的前女友动手术，他瞒着我去看了她，在他与他朋友的聊天记录看到，他亲了她，那一刻，撕心裂肺，在她空间看到分享了这首歌，我来听了，可是心好痛 ，在她微博看到她写着“我希望你是我家人，只有家人才能一辈子” 仿佛我就是一个笑话的存在。
",1998,6月28日 11:01,19933
11,"我只有十八岁，一个很好的年纪。还有三个月就要高考了但是我们还没有开学，虽然说上了网课，但很乱没有自己的节奏很慌，不知道怎么办更不知道六月一过我能不能到我想去的地方，但不管怎么样要加油要努力 要坚持下去哦
",1824,3月7日 13:05,19933
12,"他18岁时嚣张跋扈:喂，跟我谈恋爱吧！20岁时年少轻狂:都两年了你还没考虑好？23岁时风华正茂:放心考研，我可以养你。24岁时意气风发:我尊重你的选择，但你也要相信，我会全力支持你。26岁时目光柔和:8年，抗战都有结果了，你愿意跟我在一起吗？28岁时成熟内敛:行，我给你当伴郎.
",1542,6月11日 20:37,19933
13,"他是我第一个不顾廉耻去倒贴的男生.
",1385,7月7日 11:01,19933
14,"有一次我妈拿我枕头出去晒
说长这么大还流口水
",1235,7月17日 22:11,19933
