,1,0,time,comments_num
0,"""所谓完美
就是耳机音量刚好盖过外界噪音
闹钟响起时你刚好自然醒
你爱的人刚好也爱你"" 
",19.2万,2019年8月8日,131159
1,"洗澡要放歌 厕所带手机 睡觉要侧面 坐车要靠窗 眼中常含泪
",10.5万,2019年8月11日,131159
2,"我对你所有的喜欢 你亲手把它杀害
",87590,2019年8月4日,131159
3,"你总寄希望于别人 是你的错
",60100,2019年8月3日,131159
4,"记得自己一个人照顾好自己 晚上盖好被子 早晨醒来不要猛的坐起来会头疼 不要吃凉的辣的对胃不好 过马路的时候左右看 好好吃饭 不要就穿那么点衣服 感冒了一定要吃药 不要熬太晚 睡觉时记得把手机的亮度调低些 不然有辐射 记得还有我在关心你.
",53305,2019年8月4日,131159
5,"你会不会突然有一天想起我的好，然后满是遗憾。
",48991,2019年8月7日,131159
6,"心上人 狮子座 鞋码41 肉肉抱起来超有安全感 眼皮一单一双 笑起来超可爱 爱吃辣的 西瓜 吃太甜的东西会胃痛 喜欢下雨天 喜欢抽烟喝酒 喜欢到处跑 喜欢我抱着她睡 喜欢夹娃娃 爱撒娇也很粘我 她情绪波动大就会手心出汗 她总把好吃的夹给我 她在外面很稳重 私下却很孩子气 她说她很爱我 她说以后我们结婚
",40170,2019年8月5日,131159
7,"后来看到和你像的男孩子我都忍不住多看几眼。
",39300,2019年11月15日,131159
8,"我们好像不该这样 不止这样 却又只能这样
根本抵抗不了深夜突然袭来的想念
",20500,2019年8月6日,131159
9,"只要我一张开双臂
风就会抱抱我
",19387,2019年8月12日,131159
10,"还记得你说你会继续爱我，即使抽鞭炮我也爱你，不怕来不及，就怕等不到！@诱宁
",11078,2019年8月3日,131159
11,"这么好听的歌曲怎么现在才发现呢！！！
",8236,2019年9月22日,131159
12,"说实话看那个鞋码41一开始我以为是男的 希望不要喷我
",7276,2019年8月6日,131159
13,"我是被八中开除的学生，我是来砍那棵山楂树的
",6488,4月8日 19:11,131159
14,"可，很少有人做得到“完美”
",4474,2019年8月8日,131159
