,1,0,time,comments_num
0,"假如我年少有为…
",136.6万,2018年7月19日,351175
1,"你啊年少有为 而我年幼无知 可能因为这样 我们之间才不可能吧
",45.9万,2018年7月19日,351175
2,"有人说，听李荣浩的歌，会有一种真切的痛感，因为他的歌声里总是带着几分自嘲，几分玩笑，几分不愿向现实妥协的倔强。他有一种独特的属于自己的调调，在一些难过的夜里，李荣浩的声音很温柔。
",36.9万,2018年7月19日,351175
3,这才叫年少有为！！！分享歌词,27.6万,2018年7月19日,351175
4,"在年轻的时候 , 如果你爱上了一个人
请你 , 请你一定一定要温柔地对待他
长大了以后 , 你才会知道 , 在蓦然回首的刹那
没有怨恨的青春才会了无遗憾
如山冈上那轮静静的满月
",27万,2018年7月19日,351175
5,"总不能还没有努力就向生活妥协
",19.5万,2018年7月19日,351175
6,"假如你年少有为
假如我年华正美
",15.3万,2018年7月19日,351175
7,"我发现很多年少有为的人都是经历过很大的苦难挺过来才有今天的风光，所以你年少时吃过的苦终有一天会成为你站到人生高处的基石。 
",12.3万,2018年7月19日,351175
8,"赵希，我知道
我无法成为你的伴侣，与你同行
在我们眼所能见耳所能听的这个世界上，上帝不会将我的手置于你的手中
这些，我都已经答应过了
我会一直记得那时候的爱情是三块钱一杯的柠檬汁
是我陪伴你游戏二十块钱一个的通宵
是你快步走我总紧随 是你。
",11.4万,2018年8月13日,351175
9,"我年少却不有为
不懂得珍贵却自卑
",10.9万,2018年7月19日,351175
10,"“难道是为了安置未来才爱你，谁要计算过安享晚福便一起。”
你啊你永远不要低估一个女孩陪你吃苦的决心。
不要等年少有为才不自卑，你很好，你可以爱别人。
",81646,2018年7月20日,351175
11,"送给多年后的纪凌尘
",75218,2018年7月31日,351175
12,李荣浩,69668,2018年12月20日,351175
13,"我听过最愚昧的，莫过于至尊宝那句“曾经有份真挚的爱情摆在我的眼前，而我...”扪心自问，假如我年少有为，我就能真的好好爱她吗.一碗粥，温暖了寒冬，却没能温暖她的心.人啊，总在失去之后才懂得珍惜，要意识到年少有为无为，与爱不爱毫无关系.请珍惜风雨陪伴的人，风雨有阻，有情人无阻.
",63372,2019年3月8日,351175
14,"我不是男主角，一开始就知道了，没有天降光环，不是气运之子，没有显赫的家室或是逆天的气质，但我还是想做你的盖世英雄，为你遮风挡雨，与你同舟共度。
",63348,2018年9月11日,351175
