,1,0,time,comments_num
0,"粥铺卖粥 吗？粥铺只卖花粥 两碗三百 一碗多少钱？ 我现在也不知道多少钱呢
",29.7万,2019年4月14日,154694
1,"你是山中客，我等你出山，
你说何苦来哉，树说归去来兮，
你有五个人和老郭，我只有盗将行和清，
你是糟糕的歌者，我是远在北方孤独的鬼，
你说四月变成一座桥，我说我想请你吃个冰激凌，
你在山河的角落里唱给我听，我在十点差三分的时候开始想你。
",17万,2019年4月15日,154694
2,"这张专辑收录了12首歌，词曲全部由花粥创作。如果说之前的花粥，是因为爱玩爱唱而写歌，那么这《一碗》盛着花粥对这个世界、对自己的观察和想象。
封面上的那个姑娘仍站在江湖里，手插口袋，坦诚唱着她的心情！！！---------花粥大爷---小攀哟
",14万,2019年4月14日,154694
3,"初见时不是你驻在山巅
再见更不是你身处低谷
此刻不喝茶不喝酒
只想温抿一碗
花粥❤️
",71621,2019年4月14日,154694
4,"粥遥遥以轻飓，风飘飘而吹衣。问征夫以前路，恨晨光之熹微。
",51065,2019年4月14日,154694
5,"我曾赋诗写字偷得浮生半日闲
亦曾宴饮群士笑那繁华皆浮云
",48739,2019年4月14日,154694
6,"情字刚起 转眼即死
",42638,2019年4月14日,154694
7,"十年生死两茫茫 不思量 自难忘
",36809,2019年4月16日,154694
8,"归去来兮，田园将芜胡不归！既自以心为形役，奚惆怅而独悲！悟已往之不谏，知来者之可追，实迷途其未远，觉今是而昨非。-陶渊明
",32611,2019年4月14日,154694
9,"亲亲一碗一百五哦 这边建议喝完再来一碗呢
",27356,2019年4月14日,154694
10,"从此之后,我遇见青山 遇见白雾,独自尝这世间的苦与独,却再不能与你重逢了.
",25566,2019年4月14日,154694
11,"高三做的《必刷题》背面有一段文字让我泪目: 高考，无非就是很多人同时做同一份卷子，然后决定去哪一座城市，最终发现，错的每一道题都是为了遇见对的人，而对的每一道题，是为了遇见更好的自己。 仅以此言献给所有不甘平凡的高中同伴们，只要明天的太阳照常升起，我们永不放弃
",24546,2019年4月23日,154694
12,"只愿岁岁平安，即使生生不见。
",22158,2019年4月19日,154694
13,"再无相见的日子里
请你保重
",19817,2019年4月14日,154694
14,"所有的合适都是两个人的相互迁就和改变,没有天生合适的两个人,两个人朝着相同的方向努力,就是最好的爱情
",15644,2019年5月1日,154694
