,1,0,time,comments_num
0,"我想花一辈子学语文 去形容怎样爱一个人
",21万,2019年2月11日,84745
1,"谢谢大家的祝福，这首歌要感谢@星宇Stars 老师，我高中时候就聆听过他的乐团作品，这次居然成为了我的制作人，可能这就是宿命(˶‾᷄ ⁻̫ ‾᷅˵)
",14万,2019年2月11日,84745
2,"太阳刚刚落下去的时候
天淡淡的云粉粉的
很适合形容我喜欢你的心情
",10.5万,2019年2月11日,84745
3,"“也说不出对你有多喜欢，只知道目前喜欢你的程度，是其余所有喜爱的事物加起来都无法企及的。你是第一，且遥遥领先。”
",76332,2019年2月11日,84745
4,"“我试图用那些漂亮的句子来形容你，但是不行。
我字字推敲写出长长一段话，你眉眼一弯熠熠生辉，就让我觉得，不行，这些文字写不出你眼里的星辰，写不出你唇角的春风，无论哪个词，都及不上你半分的惊艳。” 
",64276,2019年2月11日,84745
5,"我该怎么形容我对你的喜欢？
“喜欢，脸红，心跳，不言
语，失眠，焦虑，常梦呓，
都是你。”
",56892,2019年2月11日,84745
6,"只要和你在一起 腮红都用不着了呢
",41546,2019年2月11日,84745
7,有人问我,37078,2019年2月11日,84745
8,"怎么形容那种喜欢？就是你走在面前，我感觉是穿着婚纱的你和西装的我，闪着光，就想这样过一辈子，怎么形容你？别人的冯子晴？你会看到这条评论吗？哈哈哈，喜欢的语无伦次啦
",28941,2019年2月20日,84745
9,"婶婶生日快乐！！！！
",15855,2019年2月11日,84745
10,"生日快乐，怎么形容你都不太够贴切
",10009,2019年2月11日,84745
11,"要形容你的话，你是最想让我开心的人，也是最让我开心的人哦。
",9547,2019年2月11日,84745
12,"为啥都开始情情爱爱了，这首歌不是沈以诚写给妈妈的吗？（滑稽）
",8930,3月30日 09:14,84745
13,"18年的幸福是，可以陪伴以诚一起做出他人生中的首张EP~ 作为EP的企划，我想邀请大家到评论区留下一件关于亲情中让你感到 幸福/悲伤/难忘 的小事，EP第二首歌《独居男子》发行前，以诚会抽取35位粉丝赠送由@网易考拉海购 准备的可以送爸爸妈妈的进口足浴盆，伴着以诚温暖的声音，让这个冬天不再寒冷
",8225,2019年2月11日,84745
14,"婶婶生日快乐！！
",3984,2019年2月11日,84745
