,1,0,time,comments_num
0,"抽中“彩券”是幸运 幸运是能与你相遇相识相爱@汤妮妮_
",58722,10月13日 00:00,113096
1,"每个女孩都是银河遗落在世间的“彩券”✨
",49505,10月13日 00:00,113096
2,"当爱过以后 当一场梦听
",49012,10月13日 00:01,113096
3,"薛先生，这是听您音乐的第七年。您也一直会是我写歌、做音乐道路上的唯一模范 ，我爱你老薛，我爱你薛之谦
",29226,10月21日 14:14,113096
4,"小雪糕很可爱对吧 你胖了不少呀我的小猪但是还是很好看 你在用你的实际行动告诉我你很幸福 我感到很开心 今天是喜欢你的1957天 我和我喜欢的人在一起235天 和一个很爱很爱我说我很重要的女孩子成为好朋友76天 还和我的老朋友维持着我最舒服的关系 我现在过的还不错 依旧要努力啊 希望我们可以一直幸福
",20912,10月13日 00:01,113096
5,"秋天适合思念适合遇见。它带来了你，像是手中的彩券。不论我能默默地陪你走多远。西风落叶里是我曾酿了一秋的甜🍂
",14059,10月13日 00:02,113096
6,《天外来物》,8712,10月13日 00:06,113096
7,"众所周知薛之谦的歌免费但绝不廉价
",7252,10月20日 19:28,113096
8,"老薛你能不能挑个阳间时间发
",5921,10月13日 00:00,113096
9,"虽然我没有秋天第一杯奶茶，但是有老薛秋天第一支新歌！
",4823,10月13日 06:22,113096
10,李荣浩,4506,10月13日 13:10,113096
11,"在书上这样一句话，要和能与你处在同一频率上的人相处，不管是交朋友还是谈恋爱，那种大家踩在同一个点上的感觉太好了。没有早或晚，所有的快乐都发生在刚刚好的状态，要清醒便一起清醒，要坠落我与你一同坠落。
",3612,10月13日 00:01,113096
12,"""任何一个小说男主都比不过薛之谦深情 他三次去民政局 带的是同一个女孩子.""
",3487,10月20日 12:50,113096
13,"永远快乐薛之谦 我心终有谦谦结
",2989,10月13日 00:00,113096
14,"我终于陪着薛之谦从苦情熬到了甜蜜
",2786,10月13日 00:26,113096
