,1,0,time,comments_num
0,"特立独行 也许苦涩 必要时放下坚强的伪装 生活会带来不一样的惊喜 坚信 未来总会有个人的手是一旦紧握就不会松开的
",10.3万,2019年10月26日,46137
1,"“你心似烟火 , 我心如夜空”
“你绚烂我世界 , 我衬映你温柔”
",95188,2019年10月26日,46137
2,"拿到原曲《绊》的时候，第一遍就被洗脑啦！考虑到要和日文原曲歌词的意思一致，所以中文词改了好多次（真的辛苦工作人员相互沟通啦 今天也是我第一次听中文版！壹千的声音一如既往好听！中文填词的我也加油啦！（BTW主要我也想要蓝牙耳机～
",51164,2019年10月26日,46137
3,"“如果你爱上了某个星球的一朵花.那么，只要在夜晚仰望星空，就会觉得漫天的繁星就像一朵朵盛开的花”——《小王子》
",38950,2019年10月26日,46137
4,"别否定自己 你特别好 特别温柔 特别值得
",34682,2019年10月26日,46137
5,"你是值得我一生去观望的烟火 从此只能凭借记忆生硬地临摹 你会不会伸出你柔软的双手拥抱我
",17252,2019年10月26日,46137
6,"山河远阔 人间烟火
无一是你 无一不是你
",16540,2019年10月26日,46137
7,"愿你心似烟火。
当她绽放时候，冷落了寂寞，渲染了笑容。
",14138,2019年10月26日,46137
8,"你撑着头看烟火笑颜动人
我侧着身看你目光深沉
还是你眼中的烟火比较迷人
—— 周将
",13669,2019年10月26日,46137
9,"今晚星星很亮啊，但我知道你没在看，说起来这真是星星的损失
",11624,2019年10月26日,46137
10,"截止11月3日在歌曲评论下随机送出2个蓝牙音箱和5个移动电源~ 届时中奖结果会由@原创君 动态公布，大家快来评论呀~
",10966,2019年10月26日,46137
11,"好多女生嘴上说那个男生好帅，然后一脸花痴，可是你信不信她们心里都有一个爱得很深的人
",6657,2019年11月25日,46137
12,"你知道烟火最珍贵的地方在哪里吗
它会在最广阔的地方最绚丽地绽放
给所有人看
而我们也要这样，心似烟火，热情绽放，所有人都会看到你
云村的大家，加油！
",5750,2019年10月26日,46137
13,"今天是爸爸离开我的2446天，妈妈离开我的2433天，爸爸是车祸保护我去世的o，妈妈也是，他们相差十七天，那时候妈妈才三十七岁，爸爸刚四十出头，爸爸妈妈对我特别特别好，又是想他们的一天，一年级，现在我初二啦
",3363,6月16日 18:31,46137
14,"因为他没给我买姨妈巾，因为他在前一天没把我的叮嘱当回事。我们分手了，所有人都认为是我作，嗯，我作，我作走的他
",1816,4月2日 05:20,46137
