,1,0,time,comments_num
0,"我承认你有几分姿色，但是如果我40岁，我一定离婚去娶你，如果我30岁，我一定分手去娶你，如果我20岁，我一定不顾一切的去追你，可我现在只有13岁，正面临7年级压力，还有一大堆作业要做
",6664,10月16日 23:10,5718
1,"阎其儿出了新歌竟然特意发私信给我，我都懒得回她
",3496,10月16日 23:27,5718
2,"这首老歌怎么不标注一下cover呢，原唱徐小凤
",2637,10月24日 09:30,5718
3,"13岁的你刚好可以娶她，作业让她做
",2231,10月18日 22:51,5718
4,"居然真的有男孩子愿意大晚上跑过来给我送吃的我真的很感动就是配送费贵了些
",2055,11月1日 17:40,5718
5,"“暴躁的女孩子很好哄的”
“下次记得在她朝你发火前拉过她的手”
“用力吻她 分开前还要啵出声那种”
“这样她一定不好意思再生气了”
“因为‘吃你的嘴短’‘拉你的手软’”
“骂人的话没能出口，打人的手缩在袖口”
“她只好气呼呼地更加喜欢你啦”
",1084,10月23日 22:13,5718
6,"听完这首歌，我竟然燃起了学习的欲望，还好我自控力强，把它压制下去了
",1064,11月6日 00:13,5718
7,"别人暗恋，又没有去拆散什么，怎么就小三了
",861,10月22日 15:35,5718
8,"三观正的请做我朋友，五官正的请做我女朋友
",833,10月24日 09:17,5718
9,"13岁了，不小了，也该有个家庭了
",698,10月19日 09:49,5718
10,"“他居然不喜欢我 他太有品味了 我更喜欢他了”
",666,11月6日 23:43,5718
11,"三十了，我居然还跟个17岁小男生一样默默喜欢一个人
",480,10月24日 03:53,5718
12,女朋友去称体重，刚站上去，体重秤就飙升到了130斤，女朋友生气地看着我说,423,10月22日 08:39,5718
13,"？阅读理解0分
",407,10月25日 10:02,5718
14,"这么可爱的女孩子。好想一屁股坐死
",385,10月19日 20:27,5718
