,1,0,time,comments_num
0,"这首歌在厕所录制的 感谢大家聆听❤️
",34612,6月8日 18:18,34022
1,"这辈子虽然没红过 但是被绿过
",29717,6月8日 21:07,34022
2,"投不进的回家球，是篮球场对你的挽留。
",18540,6月8日 22:34,34022
3,"她喜欢吃辣
她胃不好
她喜欢吃卤粉烧烤炸鸡
她喜欢喝书亦烧仙草的葡萄芋圆冻冻
她喜欢吃肯德基的墨西哥鸡肉卷
她喜欢喝冰饮
她明知道自己来了还是会吃冰的
她胃不好但是不会养胃
她喜欢穿大一码的衣服
她经常熬夜所以月经期不稳定
她不喜欢榴莲包括跟酷似榴莲的菠萝蜜
她喜欢吃烤鸡腿
",5872,7月13日 17:33,34022
4,"早知道就不聊了 小东西还挺难忘的
",5590,7月14日 14:31,34022
5,"“你亲手推开的人 一辈子没资格说想念”
",4501,9月10日 15:54,34022
6,"以后和李维在一起的女孩子啊，要记得！
他打王者喜歡用射手
他打吃鸡喜欢用m4和ak有时会用狙
他不吃肥肉！！
他对海鲜过敏！！
他经常抽烟但是你能让他少抽就少抽！
他对朋友可能开始会让你没有安全感，但是你别担心，他在爱你！
他没有回你的时候就是在睡觉
他朋友玩的好的就几个，别拆散他们了
",2948,9月24日 21:37,34022
7,"别往下滑了，你不是还有事要做的吗
",2637,10月5日 15:32,34022
8,"看到一段视频
奶奶远足时摔倒了 爷爷带着她去医院
那年她95 爷爷92
奶奶需要动手术 风险很大
有两个选择
不动手术，只有几个月时间:
动手术，风险很大，成功能多活几年
她悄悄对医生说:""我们在一起六十年了 我还没有教会他怎么学着自己一个人，我还不能这么快死""
手术结束 失败了
",2590,9月11日 18:20,34022
9,"女孩子说不联系是假的
还是会偷偷看他的资料
关注他的动态
可男孩子说不联系
就是真的不联系了
",2570,8月18日 08:40,34022
10,"后来，我再也不敢把谁规划在未来里
",2136,7月15日 10:17,34022
11,"嘘 别说话 就现在 还爱吗 别犹豫.
",1728,8月23日 17:26,34022
12,"学习成绩差
字还写的丑
打游戏还菜
要能力没能力
要知识没知识
干啥啥不行
没几个真心朋友
学习没学好
喜欢的人也没能在一起
一无所有，一无是处
16岁的我真的很迷茫
",1628,10月15日 12:51,34022
13,"男生最后都会喜欢上曾经喜欢过他的人。
",1599,10月2日 21:08,34022
14,"我忘不了一个网恋，好笑吧
",1499,10月3日 20:05,34022
