,1,0,time,comments_num
0,"悬溺
这个名字读快了就是
喜欢你
",31.8万,2019年10月17日,73610
1,"“喜欢一首歌会单曲循环 爱上一个人会不断原谅 可是歌听腻了就会切掉
所以人爱累了
也该收起一而再三的宽容 ” 
",10.6万,2019年10月17日,73610
2,"记得这首歌刚出前奏的时候，有人取名为《谷溺》“我快要沉入谷底，溺水而亡，可我还是想要“顾你”，因为你既是在我掉入谷底时保护我的水，又是夺走我空气的水”，最后定为《悬溺》读快一点就是“宣你 喜欢你”。其实想想，比起丧，或许我们都希望有个美好结局。🌸
",98808,2019年10月17日,73610
3,"我本来就是一个不喜欢主动的人，可是我对你已经超出了极限，你要我怎么说我在乎你。
",58835,2019年11月15日,73610
4,"“我又不是圣人，怎么会希望你过的很好很幸福，我巴不得你过的贫穷孤独，每到深夜时，都是想着我的好。”
",44418,2019年10月18日,73610
5,"“那天我在操场看月亮
假如有你在的话 我根本没有机会看月亮
我不怎么想看月亮 我想看你”
",40809,2019年10月17日,73610
6,"等了那么久的《未命名0831》终于出世了呀 其实我挺希望东琪能把首做成纯音乐的......但无论如何 每个制作人都有自己的想法 除了尊重也希望你以后能有更好的发展
",35267,2019年10月16日,73610
7,"人分两类，是你和不是你
想念分两种，见你和想见你
",32356,2019年10月17日,73610
8,"“原来缘分是用来说明你突然不爱我这件事情。”
",26472,2019年10月17日,73610
9,"厉害厉害，真真的了。
",19600,2019年10月17日,73610
10,"月有阴晴圆缺是假的，
但人有悲欢离合却是真的。 
",18152,2019年10月17日,73610
11,"重复的词句与重复的心绪 重复的呼吸又归重复的次序
",14790,2019年10月25日,73610
12,"没你我要这盛世又如何
",13873,2019年10月25日,73610
13,"你笑的时候
世界眯成裂缝
以前 我也住在那里面
",13838,2019年11月6日,73610
14,"来了！我宣你！
",11768,2019年10月17日,73610
