,1,0,time,comments_num
0,"KUN式情歌，慵懒跳跃的旋律，低声吟唱的爱意，从迷幻的前奏到不徐不疾的突然告白，整首歌节奏舒缓，安静中涌动着暧昧的暗流。独特的风格，是KUN对彼此之爱的诠释，两年，互相陪伴和依赖，不管是baby girl还是lover，都是我们啊💛
",17.3万,5月24日 20:02,218403
1,"内娱对性感风一直很有偏见，但是我觉得一切都是为舞台为表演服务，还有这首歌的制作我个人是觉得非常厉害的，有人不喜欢很正常，毕竟不可能要求所以人的品味都一样，不喜欢就离开就好了，不用踩一脚。
",14.9万,5月25日 22:41,218403
2,"我们的故事源于蓝玫瑰的初见💙
蓝玫瑰的花语",12万,5月24日 20:02,218403
3,"我道歉，我玩过篮球梗，现在可以转粉吗
",65020,6月1日 15:34,218403
4,"Be my lover那句低音炮苏到爆炸，坤简直就是隐藏的声优 。从I wanna get love到I know you want it.我疯狂体会小鹿乱撞。气氛升温，脸颊铺满红晕，危险又迷人的心魄。
",61506,5月24日 20:03,218403
5,"2018.8.02《You can be my girlfriend》
2020.5.24.8",51979,5月24日 20:06,218403
6,"真是路人，我惊讶的是这歌居然不要钱
",39655,5月24日 23:16,218403
7,"黑出感情了，有一说一，挺好听的
",28643,5月26日 00:13,218403
8,"路人好像有点要粉的趋势啦
",28581,5月24日 20:12,218403
9,"骚的好高级（这个骚不是恶意的意思）
",21963,5月28日 16:31,218403
10,"建议大家考试前听《情人》
你轻轻一个问
我疯狂题会
",18521,6月28日 21:13,218403
11,"从my baby gril到be my grilfriend再到be my lover，这个男孩真的充满了仪式感
",18010,5月24日 20:05,218403
12,"虽然不是坤迷，但是真的很好听
",14920,5月24日 20:16,218403
13,"这就是你在奔跑吧答应给李晨的歌？
",14181,5月24日 20:49,218403
14,"我靠？？？这首歌居然是他唱的啊
",12431,7月20日 07:05,218403
