,1,0,time,comments_num
0,"听80000的时候我们刚刚一起，我和她一起听。你发布了这个歌我们刚刚分手。感谢经历。
",28.1万,2018年7月27日,99100
1,80000下架前里面有一句评论,16万,2018年7月29日,99100
2,"是你推给我80000 然后离开了 现在这首歌回来了 味道却变了 其实这也和人一样 此刻的我已经没有当时可以把这首歌单循86遍的心 不论结局感谢相遇过在一起过
",89638,2018年9月3日,99100
3,"这首歌是你给我听的，然后你走了，歌也没了
现在这首歌回来了，你呢？
",70437,2018年7月27日,99100
4,"“我要偷你的体温” “说人话” “要抱抱”
",64978,2018年7月27日,99100
5,"我总是一厢情愿 现在风走了八万里 等回来了八万 不知道有没有等到最爱我的你
",41936,2018年7月27日,99100
6,"你一定会来听的对吗
",35921,2018年7月29日,99100
7,"我举着丘比特之心追呀追 你穿着防弹背心飞呀飞
",29964,2018年7月27日,99100
8,"对不起我还是没有忘记她❤️
",20913,2018年7月28日,99100
9,"物是人非是真的
",18691,2018年7月27日,99100
10,"我觉得我们还会在这首歌“相遇”
",15640,2018年8月5日,99100
11,"你是心上人，放在心尖上的人
",13542,2018年7月27日,99100
12,"想你想你想我
",9516,2018年7月27日,99100
13,"像个孩子总想钻进你的胸膛
",7984,2018年7月27日,99100
14,"我还是喜欢原来的粗暴与狂野
",7957,2018年11月18日,99100
