,1,0,time,comments_num
0,"有多少是日推来的感谢各位
",72.6万,2017年4月8日,373051
1,"巨她妈难过，我说不出
",39.2万,2017年4月22日,373051
2,"直到后来看到你恋爱的样子 才知道自己从来没有被你爱过
",31.2万,2017年6月5日,373051
3,"我记得很久之前去ktv玩真心话大冒险,一个男生选大冒险 给初恋打了电话 开了免提 他很紧张的一直在抖 我们所有人屏着呼吸 只听到手机里传来姑娘的声音 三年了你不说话我都知道是你 我没有谈恋爱 也从没有忘记你 你玩了五次大冒险 每次打来电话都不说话 可我知道是你,所以你什么意思
",25.2万,2017年9月27日,373051
4,"相爱容易 因为五官 相处不易 因为三观
",16.1万,2017年7月11日,373051
5,"最近还会写新歌 如果可以关注一下 毕竟不是每首都能上日推 可以私信我 有什么好的题材我可以试着写写
",15.8万,2017年4月9日,373051
6,"如果我们当初不添加好友 现在也不会有那么多故事 或许遇见都是天意 拥有的都是幸运 能陪在身边就好最好的.错的人迟早要走散 而相爱的终将会相逢 如果两个人注定在一起 不管绕多大一圈依然会回到彼此身边. 如果这条评论沉下去了就当我说了个笑话吧.
",14.3万,2017年11月7日,373051
7,"我妈爱了我二十年我还跟她吵架
你不过爱了我几个月我就跟你低头服软
我对不起我妈 你也对不起我
",11.3万,2018年9月18日,373051
8,"你才不是一个没人要的女同学
谁会不厌其烦的安慰那无知的少年
我愿意用十年奋斗 换你一小时的笑脸
",98280,2018年1月16日,373051
9,"她傻到以为我也是真的爱她
",96653,2017年7月17日,373051
10,"走心就可以单循
",76400,2017年2月18日,373051
11,"后来 你找我和好 我承认还爱你 但我不能答应你了 因为你可以渣 而我不可以再贱了
",74653,2018年6月9日,373051
12,"＂如果你喜欢一个人，
一定要告诉她
不是为了要她报答，
而是让她在以后黑暗的日子里，
否定自己的时候，
想起世界上还有人这么喜欢她
她并非一无是处。＂
",71143,2018年3月1日,373051
13,"喜欢一人
始于颜值
陷于才华
忠于人品
痴于肉体
迷于声音
醉于深情
折于物质
败于现实
",59514,2019年3月9日,373051
14,"你不说真心话，怎么让我为你大冒险。
",57554,2018年4月3日,373051
