,1,0,time,comments_num
0,"余生漫长，还请多多指教。🌙
",50502,2月26日 00:06,45603
1,"愿我今年高考加油！
乾坤未定，你我皆是黑马。
",43768,2月26日 00:09,45603
2,"宁愿单身，也不将就恋爱
余生漫长，要找一个三观一致、相处不累、待你如珍宝的人微笑共度
",34107,2月27日 12:44,45603
3,"今年高考很恐怖 它会拼命奖励在寒假里自律的人
",22686,2月26日 12:30,45603
4,"“要变得温柔和强大，就算哪天突然孤身一人，
也能平静地活下去，不至于崩溃。” —— 新海诚《言叶之庭》 
",14151,2月26日 00:09,45603
5,"我本将心向明月，奈何明月照沟渠。我本相信爱情，奈何它却是一个不会说话的哑巴
",8068,2月26日 00:00,45603
6,"“秋天的风，它不曾见过桃花”请问这是什么意思呢？
",6451,5月4日 08:21,45603
7,"我想和你漫无目的只是和你。
",6296,2月26日 23:59,45603
8,百度,5714,5月4日 08:25,45603
9,"余生漫长，愿你一生勇敢且温柔，有爱可寻亦有梦可追。
",4836,2月26日 00:00,45603
10,"作曲打卡
愿时光会倒流，星星会说话，愿你余生漫长，愿我们有机会再说一句“好久不见”，别来无恙。
",4604,2月26日 00:41,45603
11,"如果能拥抱自己 你又怎么会孤独。
",3496,2月26日 00:09,45603
12,"00后，我居然喜欢上一个大叔，并且是有家庭的，我知道这样不对，我已经在克制自己了，可是感情这种东西真的不由自主，我要怎么办，😔……他说也对我有感觉，，就算在有感觉，也不能破坏……不能破坏
",3138,4月7日 20:51,45603
13,"百度还说了“意思是，在爱情方面，未曾偶遇到心爱的人。”
",3039,5月4日 08:27,45603
14,"前男友太多
现在听歌都不知道想谁了 [多多捂脸]
",3029,6月8日 12:47,45603
