,1,0,time,comments_num
0,"说不想烂大街的，你们有没有想过这些音乐人多需要这样的机会
",13384,9月28日 18:26,12504
1,"drop top 我像一个井盖
",12049,1月2日 16:33,12504
2,"那是王源玩autotune了吗
",10216,9月15日 23:35,12504
3,"改名字咋了 不听别听啊 我就直说80%以上的人不知道frowned什么意思 换一个更好搜的名字有什么问题吗
",5149,10月16日 19:51,12504
4,"请女孩子不要说🉑！！！！ 跟我学 中！！！！
",4785,7月18日 10:42,12504
5,"Drop top 我像一个傻瓜
这句是谁唱的啊 太好听了声音
",4326,10月3日 12:49,12504
6,"第一句 Drop top 我像一个傻瓜 是谁唱的！！！就是一开始比较小声的那个！！声音太酥了吧！！！
",3664,10月12日 17:47,12504
7,"靠父母，我就是公主
靠男人，我就是王后
靠自己，我就是乞丐
靠嫩娘，我就是河南人
",3564,9月20日 13:35,12504
8,"我靠嫩娘 恁不喜欢俺 恁不早点讲
",3396,10月2日 00:13,12504
9,"靠嫩娘，河南人做emo就是中
",2330,9月27日 10:57,12504
10,"只要这个女孩还回你消息 无论她话说的多冷漠 都是不想和你结束的意思
",2259,10月19日 20:22,12504
11,"忽冷忽热很有意思吗？假装不认识很好玩吗？装高冷很拽吗？不回消息很有态度是吧？
",2115,9月26日 20:13,12504
12,"我拿着中国emo最顶尖的流量
",2105,10月11日 19:04,12504
13,"河北人的hook怎么样
",1873,5月28日 00:01,12504
14,"大家都在问 这三个人哪个是哪个 我来替我兄弟解释一下: Hook和第一段verse是河北吴孟达唱的 第二段verse是河南神唱的 光能使者是河北吴孟达所属的组合(中国最牛逼的情绪音乐组合) 同时光能使者也是个rapper叫16rockbaby
",1803,10月1日 09:57,12504
