,1,0,time,comments_num
0,"我过得很好，只不过你能不能别突然回来，我可是好不容易才忘记了
",29417,10月31日 00:00,56697
1,"我很好我很好我很好，希望你也很好。
",28880,11月1日 16:44,56697
2,"大海很美，但是我们的船靠岸了。
",22005,10月31日 00:42,56697
3,"我女朋友跟我好兄弟处上了，我很厉害吧
",8827,11月7日 19:27,56697
4,"其实破镜重圆 是你在权衡利弊后发现还是我最好骗 对吧.
",5785,11月7日 20:53,56697
5,"一个属于刘大壮的时代快到了
",4688,10月31日 12:37,56697
6,"其实我也是第一次谈恋爱，我也什么都不懂，本来我就挺不喜欢社交，也不喜欢说话，遇到你后我试着改变自己，我知道你是一个很好的女孩，你三观很正很开朗，我怕性格和你磨合不好一直尝试改变自己，那段时间我也试着说些温柔的话，也在尝试怎样做一个值得你依赖的人，也许是我们发展太快了，是我让你觉得
",4009,11月5日 20:17,56697
7,"在一起十个月 因为我的原因离开了你 你打电话来哭着说你很难受 我很想你 我想抱抱你 我在电话那头却无能为力 你的家庭并不幸福 他们大人总是自以为是有资格决定你的人生 我们不为别人活 我能把自己照顾好 但你又怎么照顾好自己 我告诉你 你很懂事很优秀 在台上的你让我很卑微 我觉得自己很差 配不上你
",3871,10月31日 00:00,56697
8,"我毕业的时候没想谈恋爱，我出国的时候没想谈恋爱，我除夕夜躺在外国的医院也没想谈恋爱，加班的时候没想谈恋爱，放假的时候没想谈恋爱，但此时此刻，在回国之前核酸检测成阳性被关在小黑屋的我，不敢告诉家人朋友的我，好想谈恋爱好想有个女朋友，今年我真的一点都不好
",3102,11月7日 12:04,56697
9,"和她分手啦 是两个女孩子的爱情噢 她受不了被人说我们txl 小笨蛋 我最后一次这样叫你啦 小笨蛋 照顾好自己噢.
2020.11.7
",2748,11月7日 18:24,56697
10,"不管是暗恋，还是明恋，还是相恋，我觉得都是人生的宝贵体验吧，人生嘛，不能总是充满着遗憾，总为下一步遗憾感到难受。
",2308,10月31日 01:56,56697
11,"我在拼命忘掉一个不喜欢我的男孩子
",2093,11月5日 23:57,56697
12,"你跟我在一起只是因为我对你很好 而不是因为你喜欢我
",1993,11月10日 17:18,56697
13,"没经历过别人的故事没有资格去说别人 尊重每一个人的经历
",1485,11月6日 22:02,56697
14,"高三了一个人的压力真的好大每天我看起来没心没肺阳光但真正的压力只有自己才可以体验到啊 每当看到家人们期望的眼神再看看我最近的成绩从疫情结束后踏入高三原本班里名列前茅的我竟不知道退到了何处现在人际关系还出了问题今天一个人大晚上走了一圈我真的好怕高考那天失常 好怕以后在社会不能出人头地
",1432,11月7日 01:06,56697
