,1,0,time,comments_num
0,"怎么被自己感动到了。
",70.8万,2019年2月3日,300396
1,"有时关不上冰箱的门 脚趾撞到了桌腿 临出门找不到想要的东西 突然忍不住掉泪 你觉得小题大作 只有我自己知道为什么
",40.3万,2019年2月3日,300396
2,"马航调查团队解散，四年，我还在等你，可是他们不找了，他们找了四年，连你的一丝希望都没有给我带来，如今他们解散，留给我的只有一笔钱，可是金钱是冰冷的，我想要的是牵着你的手，感受你手心的温暖啊，宝贝，你去哪了，我希望你只是穿越了，在某一年某一天突然回来，告诉我飞机晚点了…没关系的啊！
",36.3万,2019年2月16日,300396
3,"我曾渴望长大 我曾羡慕着成年后的世界 我现在成年了 我真的好累
",23.8万,2019年2月3日,300396
4,"总不能还没努力就向生活妥协吧
",18.4万,2019年2月3日,300396
5,"只要以后他的合法丈夫是我 现在的苦 我统统接下
",15.6万,2019年2月8日,300396
6,"我曾以为了无牵挂是句空话
我曾轻笑茕茕孑立只属于旁人
后来我被梦想推向了断崖 被妄想侵蚀了孤勇
又被坦诚刺穿了胸口
她说人生是笑的有滋有味
我说还有哭的五味杂陈
",91819,2019年2月3日,300396
7,"单亲 14岁踏入社会玩片刀。跟过大哥办过事。觉得都没什么反正年轻。就在第三次打劳改妈去探监时不经意间隔着玻璃看到她眼角的皱纹跟鬓角的白发。 当晚一宿没睡。2015年出狱我妈来接我我跪下了给她磕了个头。此后很多次他们叫我都没回头。我不想我妈老后无所依无所养。我只想安安稳稳的我要走正路。
",77775,2019年2月18日,300396
8,"我多想让过去重来 再给我一次机会
",62926,2019年2月3日,300396
9,"猫不能下水，所以老鼠也是不错的食物，鱼不能上岸，小虾也能饱腹，人生要珍惜眼前的美好，并不是谁都替代不了，只是接受不了这样的现实罢了，猫吃老鼠也香，鱼吃虾也快活，其实你不去爱她也能幸福
",55472,2019年3月3日,300396
10,"我曾爱你 孤注一掷
",44712,2019年2月3日,300396
11,"关不上冰箱的门是因为想见你太着急了 脚趾撞到桌脚是因为一直想你分心了 出门找不到想要的东西是因为想快点见到你太高兴了 这些其实都是因为他 而他却不知道
",36279,2019年2月3日,300396
12,"我曾独自横走在凌晨的街 我曾抬头仰望 我曾坠入深渊 我曾怀有无尽的执念与渴望 我曾奋不顾身将一切击碎 盼望着新的到来 我曾直面过去直面伤痛 也曾头也不回的前行 我也曾有过梦想成真 也曾发现遗世独立的一万种可能 我曾害怕许下任何承诺却难掩爱意 我曾与现实距理想的偏差握手言和
",30123,2019年2月13日,300396
13,"我曾爱过你 想到就心酸 如今我与岁月山河同好
",21994,2019年2月3日,300396
14,"他要圈起来，划重点了哦要考
",20980,2019年2月9日,300396
