,1,0,time,comments_num
0,"我是曾振萍 我发誓熬过异地恋就嫁给周涛@小北到处找
",21740,8月21日 22:25,13118
1,"我是周涛 我发誓熬过异地恋就娶曾振萍@小尤到处跑
",21740,8月21日 22:20,13118
2,"希望你能一直爱我❤️
",10198,7月29日 12:20,13118
3,"“希望你能遇见那个女孩子，她不许你难过不许你扛下所有，教你理智教你温柔，重要的是她会修复你曾经破碎的爱情观”
",5505,7月29日 11:00,13118
4,"我是李翠花，我发誓要拆散曾振萍和周涛
",4387,10月5日 14:00,13118
5,"在这车遥马急的人间，我爱你又何止几年。
",4008,7月29日 00:00,13118
6,"我是张二狗，拐走李翠花。曾振萍和周涛就能在一起了
",2486,10月11日 19:53,13118
7,"“你以为是拍电影吗，谁还会为了你等三五年”
",1734,8月29日 00:40,13118
8,"等我退伍回来 一定不能负你@LiuQwen-
",1531,9月7日 10:13,13118
9,"我是老八，我发誓周涛和曾振萍结婚的时候给他们当厨师
",1530,10月5日 14:28,13118
10,"我一直以为她空间的句子是发给我听的
",1473,8月3日 12:57,13118
11,"我是周涛 我决定抛弃曾振萍 跟李翠花在一起了
",1412,10月21日 03:01,13118
12,"我是异地恋，我发誓我不知道为什么周涛和曾振萍要熬过我@我自己
",1270,10月14日 23:13,13118
13,"我是苏逸然 我发誓周涛和曾振萍熬过异地恋就拆散他们
",918,10月6日 10:10,13118
14,"能出现在草稿纸上的名字都意义非凡.
",872,10月2日 09:47,13118
