,1,0,time,comments_num
0,"我想谈一场公开的恋情
爸妈同意 亲戚知道
朋友祝福的恋爱
如果可以 只爱你一个
",43万,2018年4月27日,138467
1,这是一条优雅的广告,27.4万,2019年4月5日,138467
2,"突然想到JJ《关键词》中的一句歌词 “有一种踏实，当你口中喊我名字❤️”
",17.9万,2018年4月27日,138467
3,"焦迈奇 今天你那里吹风了吗 风有告诉你我喜欢你吗(˶‾᷄⁻̫‾᷅˵)
",11万,2018年4月27日,138467
4,"我有一百种方法写下你的名字，可我喜欢的不是你名字，而是你
",95380,2018年5月6日,138467
5,"我的名字俗气至极，但并不影响我喜欢你
",83595,2018年5月14日,138467
6,"人这一辈子，能被记住的也只有名字，你的名字被我刻在蛙店的角落，我的名字希望刻在你的脚心。
",51331,2018年7月24日,138467
7,"昨天听好妹电台，焦迈奇说，本来歌名是一个电影角色的名字，又怕别人不知道，所以改成了我的名字。
",43711,2018年4月27日,138467
8,好久不见，我们谈谈理想,42183,2018年4月27日,138467
9,"多可怕，明明忘记的感情还记得的名字，提起来，又是个悲伤的故事。
",33459,2018年4月27日,138467
10,"你的名字被我刻写在心头千万次，
能否在你我下一次相遇之时换取一个拥抱?
",29138,2018年4月27日,138467
11,"第一次听焦迈奇的歌并不知道他是谁 长什么样子 就像五年前第一次听好妹妹时一样 只有耳机里温暖的声音 就好想死在耳机里
听着听着突然有想要了解他的冲动 才发现原来是这么阳光的男孩呀 就好像大学里的好朋友一样 愿你永远开心 阳光 不管你的歌词里藏着多少故事 在面对我们时 你仍少年
",28921,2018年4月27日,138467
12,"每个人都在说，不要太在意付出感，可我有时候就是想做个自私点的人。
想让你发现我做的很多事都是想让你看到，给你买的礼物不是我说的随手买而是凌晨守着抢的限量，唔，其实打榜也不是那么爱做，只是也想偷一点你的热情和喜欢。
我哪有那么无私啊，我只是有点贪心，想让你看见我的喜欢而已。
",19836,2018年4月27日,138467
13,"拜托你轻声重着我的名字
",18951,2018年4月28日,138467
14,"真的很佩服这个自己作曲作曲，笑起来笑容可以融化冬天的少年，很优秀！希望自己也能跟他一样，加油，拜托你轻声重着我的名字，陈公子！
",12661,2019年5月28日,138467
