,1,0,time,comments_num
0,"歌词读后感放学后交到我的办公室/
",36785,7月16日 20:19,18054
1,"辛苦了我们三十 这些天压力很大 但是你还是好好的把这首歌完成了！！！！！！把三十nb打在公屏上！！！[多多大笑]
",22472,7月16日 20:22,18054
2,"三十直接被催裂开了，鬼知道三十这几天遭受了什么…
",21085,7月16日 21:27,18054
3,"卧槽wc 2分38秒那喘了一声 好欲！！！
",11651,7月23日 22:19,18054
4,"你们从哪看出来这是首小黄歌
",8134,8月4日 16:41,18054
5,"“第一次我陪你试验”是什么意思🌚🙊👀
",5947,8月14日 09:38,18054
6,第一遍,5946,7月17日 13:59,18054
7,"三十哥哥的作词作曲！我爱了！
",3296,7月16日 20:34,18054
8,"是歌词本来就这个意思，还是我脑子里都是黄色废料😂
",3220,7月16日 21:27,18054
9,"祝大家都能合法睡到自己喜欢的男孩子。
",3194,10月5日 17:12,18054
10,"哇靠，这这这唱歌怎么老喘啊啊啊啊啊啊啊啊啊我死了
",3077,8月21日 10:58,18054
11,"“ 我确实是未成年 ”
“但是我想跟你试试看你们大人的事情”
“有很多我不懂 麻烦你教我了”
",2724,8月1日 17:05,18054
12,"找男朋友的标准:
1.会打篮球
2.满眼都是我
3.最好姓刘
",2005,10月5日 13:28,18054
13,"到处都能看出
",1915,8月4日 23:20,18054
14,"你等我整个成人小说出来
",1638,7月16日 21:00,18054
