,1,0,time,comments_num
0,"跟谁都不来电，跟谁都能调情，知情知趣知进退没什么大原则，只要不讨厌对方，就可以说我喜欢你啊我爱你啊。谁管呢，反正大家都不会当真，开心就好了，偶尔看到一对真心相爱的情侣，才发现真他妈羡慕。但老子不稀罕，喜欢人太累了，之前有过心动那么一次两次，但回忆太多令我痛苦难眠，还是算了吧
",11万,2019年11月30日,75554
1,"以后会唱更多好听的歌给大家的 关注一下吧～
",71276,2019年11月29日,75554
2,"吊着就吊着吧 总比突然断的干干净净好 我还年轻 我等的起
",70665,2019年11月30日,75554
3,"“热爱到什么程度才敢错过千万次都想重来”
",31677,2019年12月14日,75554
4,"我有时候想跟她道个歉，遇见她的时候我太小了，是我不注重细节毁了她好多温柔，是我不会爱人。
",25970,2019年12月7日,75554
5,"当你发现一个喜欢嘻嘻哈哈疯疯癫癫平时一点都不正经的人.突然间跟给你讲起了大道理.请你认真听其实你不知道那是他经历了多少心酸.吃过多少苦才认识到的...
",20071,2019年12月13日,75554
6,"我想能找到你 我想能见你
我想能找到你 我想我还能见你
",16565,2019年11月29日,75554
7,"本来无一物，何处惹尘埃
",13332,2019年12月1日,75554
8,"我只想找到你，不管你在哪里......因为我想找到你的奇迹❤️@超爱牧垚儿
",8272,2月21日 12:04,75554
9,"我以前真的是一个很开心的人 但是我现在 自甘堕落 如果你救我 你就是在害我
",7912,2019年12月1日,75554
10,"你是我疲惫生活的希望与糖 。
",7320,2019年12月7日,75554
11,"你要知道等你发现你等不到了，你就不年轻了
",6562,2019年11月30日,75554
12,"暧昧成瘾，偶尔遇见心动的也摇摇头
",6154,2019年11月30日,75554
13,"我和我男朋友异地，最近我遇到了一个让我心动的男生，那又如何，我可以克制我自己，我爱我爱的那个人，让人心动的男生太多了
",5603,2019年12月1日,75554
14,"歌和歌词对不起来的是因为歌已经换了因为缓存的关系听的还是原版
",4872,2019年12月10日,75554
