,1,0,time,comments_num
0,"结尾最后一段我唱哭了 大概每个人都会经历“从陌生到熟悉最后走到分离”吧
",8711,9月8日 19:46,12341
1,"好像一切都不尽人意。
",6044,8月30日 16:41,12341
2,"我走以后，你是不是会偶尔想起我，想起我们的曾经，会不会偶尔担心我......
",3347,9月9日 09:55,12341
3,"O型血可以救A型血
同时也可以救B型血
还可以救AB型血
但这三个血型都救不了O型血
",2846,9月6日 20:50,12341
4,"少谈些恋爱吧 不然遇见那个满眼都是你的男孩子 你却对他没有一点心动的感觉 这对他不公平.
",2236,9月1日 21:31,12341
5,"这是你要的自由我还给你了
",1657,9月11日 01:42,12341
6,"我好像同时喜欢上两个男孩子了....
",1356,10月3日 19:42,12341
7,"我有一个只能看资料不能添加的好友
",1175,10月7日 11:09,12341
8,"我想开个面馆，店名叫“见你一面”
",1160,9月5日 16:28,12341
9,"银河飞车也不错
",1081,9月26日 22:43,12341
10,"我现在一个人日子过得不好也不坏 身上不背任何感情很轻松 我也怀念当初但我知道我回不去了
",1009,8月30日 16:38,12341
11,"和暗恋很久的女孩子在一起了！！！！！！
",942,9月12日 22:20,12341
12,"我不怀疑真心 但真心瞬息而变。
",847,8月30日 17:06,12341
13,"""你总是不长记性的过分期待""
",837,9月20日 11:35,12341
14,"我们现在生疏到这种程度你满意吗.
",751,9月27日 22:30,12341
