,1,0,time,comments_num
0,"所念皆星河 星河皆是你
",29246,9月10日 20:51,35656
1,"所念皆星河,星河不可及
",27681,9月5日 20:07,35656
2,"每一颗星星 是一个愿望
想要做一个银河交换铺
留下你们的星星愿望吧
",23805,9月5日 20:13,35656
3,"下次再见 早点睡 晚安啦💤
",11812,9月6日 21:00,35656
4,"房东的猫你好，我叫地主的狗
",7627,9月12日 12:22,35656
5,"据说人会成长三次，第一次是当你发现自己不是世界中心的时候；第二次是当你发现无论你再怎么努力，有些事总是无能为力的时候；第三次是当你意识到虽然无能为力依然会拼尽全力；如果你也有期待黎明，那就请你能够拥抱黑暗
",7267,9月6日 20:14,35656
6,"好好爱自己 才是终生浪漫的开始
",5856,9月5日 21:36,35656
7,"一群未成年，故事比你爹都多
",5559,10月3日 16:14,35656
8,"「我不摘月亮 我要它永远高悬天上 皎洁流芳
他始终陌生 才允许诸多浪漫想象 作为我理想
我要写诗给他 不要求送达
他可以接很多人的鲜花 不必无暇
我知 再迷恋他也非我能私有
就当神爱世人遥远温柔 未必要牵手
隔千万光年宇宙献吻 亦真切感受
不用强求 对号入座那虚构」
",4520,9月5日 20:00,35656
9,"我考上中南财经政法大学了[多多大笑]
",4162,9月7日 11:34,35656
10,心理学上说,3617,10月2日 17:45,35656
11,"天文学里有个定义，叫做洛希极限。
“行星和卫星会因为万有引力不断靠近，但他们之间有个保持安全的最短距离。一旦超过洛希极限，潮汐力会把那颗卫星撕碎。然后那颗已经粉碎崩塌的星球会化作星尘，渐渐地聚拢在那颗行星身旁，演变成一个环，将那颗行星环抱。” 宇宙才是浪漫的起源。
",3354,9月12日 10:55,35656
12,"一位十年后的首富赞了我
",3203,11月8日 08:04,35656
13,"复读的第八天。
不知道我做的选择对不对，这条路应该荆棘丛生吧，每天起早贪晚也很辛苦，又要重新经历一遍高三的生活，又要重新经历一次高考，怎么想都很意外，也很难过。我只能看着别人高高兴兴去大学，我只能将并不喜欢的录取通知书塞在角落里，背着书包走进复读学校。复读，并不快乐的一件事，但我
",3176,9月13日 01:12,35656
14,"我好想好想要双向奔赴的喜欢啊
",3125,9月27日 23:23,35656
