,1,0,time,comments_num
0,"瞧把作者逼的 自己唱dj版了
",13945,10月17日 02:56,4126
1,"又是一个把作者逼疯自己出DJ了
",11488,10月17日 12:46,4126
2,"盗版成功把原创作者逼急了
",9486,10月17日 12:41,4126
3,"好家伙，又是一首把原唱逼出dj的歌[多多捂脸]
",1477,10月18日 13:21,4126
4,"一二月疫情，三四月网课，五六月开学，七八月放假，九月开学，十月国庆，十一月上学，十二月跨年，2020年像开了二倍速一样，这是我过得最快，也是我过得最乱的一年……
",1417,11月1日 18:03,4126
5,"这是我听过三观最正的话了 ""抱歉 我并不喜欢你 出于礼貌一直没有跟你断开联系 这可能让你产生一些误会 我不想吊着你 也不值得你喜欢 我之前没有果断的拒绝你 是因为我知道爱而不得的感受 我也试着喜欢你 但就是没感觉 你很好但对不起""
",1125,10月25日 12:07,4126
6,"Hey baby you know
其实我喜欢你了好久，认识你的第一天我就想加你的好友，可是当你开口和我说话我却害羞的想逃走，看到你和别的女生聊天我又只能借酒消愁，所以这次我选择不再逃避，大声的告诉你我就是喜欢你!@与你在傍晚相遇
",1028,10月25日 14:02,4126
7,"上一秒还在忘川彼岸 下一秒就执迷不悟了😂😂😂
",925,10月29日 22:58,4126
8,"不是盗版，翻唱，盗版可能有贬的意思在
",837,10月18日 11:12,4126
9,"我加上了的学妹，跟她聊了很多天，聊的越来越暧昧，我承认，她的可爱，我真的好喜欢，突然有一天晚上，我在吃晚饭，她打电话跟我说，学长，我有男朋友了。我瞬间不想吃了，那种感觉就像很重要的东西突然失去了，可仔细想想，我根本从来没有拥有过，又何谈失去呢，不过是我自己一人自作多情罢了
",813,11月3日 17:12,4126
10,"你知道为什么要好好学习吗？因为也许你喜欢的男孩子他的成绩并不好以后没有能力让你过上你想要的生活 你的父母反对你们在一起 所以你要好好学习赚大钱然后去养他 有我在他不需要长大
",750,10月24日 23:04,4126
11,"我爱你又何止 是执迷不悟@山山而川Y77
",617,10月25日 14:04,4126
12,"我同桌可能是个神经病，上课时用手比作手枪，然后对自己头开了一枪……嘭……最后睡了三节课
",436,11月7日 13:15,4126
13,"翻唱，能不能明白这个词？
",417,10月18日 12:31,4126
14,"班主任说 要把他埋藏在心里 变成动力 高考一完 立马表白
",370,10月30日 22:36,4126
