,1,0,time,comments_num
0,"前程似锦什么的太虚假了，祝你穷困潦倒 夜夜想起我的好 风水流轮转 我受过的罪你也逃不了
",47541,9月12日 11:25,35069
1,"和顾先生在一起的第514天，我爱顾先生，顾先生也爱我，尽管我们都是男生。
",43531,10月18日 18:58,35069
2,"我 还 是 改 不 了 一 难 过 就 冷 淡 的 坏习 惯
",28126,9月29日 18:49,35069
3,"我加上一个大一的学妹，跟她聊了很多天，聊的越来越暧昧，我承认，她的可爱，我真的好喜欢，突然有一天晚上，我在吃晚饭，她发消息跟我说，学长，我有男朋友了。我瞬间不想吃了，那种感觉就像很重要的东西突然失去了，可仔细想想，我根本从来没有拥有过，又何谈失去呢，不过是我自己一人自作多情罢了
",7602,10月16日 22:49,35069
4,"又要跨年了吗 今年会下雪吗 天气会很冷吗 会感冒吗 会放烟花吗 会开心吗 你会陪我吗
",5905,10月22日 00:08,35069
5,"越长大我才越明白，前途，真的比什么都重要
",5594,9月9日 12:12,35069
6,"你们接着丧，我的高考对手少一个算一个
",4661,11月7日 19:44,35069
7,"喜欢不一定非要谈恋爱 现在互相拥有还太过幼稚 等自己真正能撑起一片天的时候 能对喜欢的人负责 而不是在空间里留言 在签名上暧昧 天天聊的没完 再相爱的两个人也都有自己的事情 没有必要每时每刻都在一起 爱一个人是不会让她掉眼泪的 所以 等到成熟的年纪 若能最后在一起 晚点没关系.
",3906,10月19日 17:07,35069
8,千玺说过,3264,10月11日 19:14,35069
9,"我就是见不得你过得比我好。曾经我有多爱你现在我就有多恨你。只有你过得不好才能对我有些许安慰，因为我会告诉自己不是我不好是你不配。
",3072,9月14日 08:35,35069
10,"就在凌晨1点半.我结束了将近6年的恋情.他今年高考.考完后就变了个人.准确来说是玩游戏玩成那副模样.就是脏话很多.对我也不问不顾.甚至还和其他女孩子换情头换情名打王者.他和我说那是男孩子.和我说只是为了刷师父分.我承受不了.我不喜欢你把对我的喜欢分给别人.于是我就把你删了.
",3067,10月25日 08:38,35069
11,"祝你们白头偕老，幸福一生，不要在意任何流言蜚语，快乐一生
–一个陌生人
",2708,10月19日 23:01,35069
12,"感情淡了我们可以再培养，无话可说了我们就再去找话题。觉得腻了我们就重新认识，要是累了就给彼此留一些空间。这世界人潮汹涌的，我知道能够遇到你真的不容易，中途反反复复真的遇到很多困难和阻碍，不想再推开了。我希望你也这样想…我爱你。 
",2367,10月22日 06:34,35069
13,"连体育老师都会告诉你 跑步的时候不要回头 冲刺的时候不要犹豫 你既然是要上到山顶的人 就不要被路边的野草绊倒了脚 ，不值得  
",2188,10月12日 23:51,35069
14,"陷入崽崽的温柔太深，已经和崽崽在一起101天，尽管我们都是女生。
",2033,10月31日 13:43,35069
