,1,0,time,comments_num
0,"希望你是回忆里 那个永远不长胖的人～
",11.4万,2019年11月14日,107313
1,"I like you,but just like you
",45427,2019年11月14日,107313
2,"“所以你宁愿错过也不愿主动，对吗？”
",20042,7月25日 13:36,107313
3,"女孩子总觉得截图就可以留住一些东西.
",10225,7月12日 05:38,107313
4,"这一生无法忘记澄蓝色的你，像一份礼物悄然呈现在我的境遇。
",7617,2019年11月14日,107313
5,"我们因爱而爱，但不止于爱
",5601,2019年11月14日,107313
6,"我最爱的日文歌终于被填词啦！
",4348,7月29日 16:58,107313
7,"纵然万劫不复，纵然相思入骨，我也待你眉眼如初，岁月如故。
",4105,2019年11月14日,107313
8,"很久以前，有一次我去看我女友的时候，没有车票回学校了，就买了一个无座的票，二十个小时，我瞒着她说是高铁，手机中途手机没电了，她给我打电话打不通，打到室友哪儿去也找不到我，然后就在宿舍里哭，一直哭，怕我出什么事，后来我给她回电话了，还在哽咽，你知道吗？那个时候我发誓我一定不会辜负她
",3602,10月17日 17:53,107313
9,"那就我的肉都长你身上
",3281,2019年11月14日,107313
10,"这个旋律有点耳熟哎，好像以前有听过一首差不多的日文歌
",2854,8月3日 12:01,107313
11,"抱抱评论这个细节我爆吹，太暖心了
",2746,8月3日 17:00,107313
12,"你可能不知道，这首歌06:21的时长，我不断的循环听只是为了听4分22秒的那一句话
",2649,7月17日 22:11,107313
13,"我最喜欢的男孩子叫田文涛
他的生日是9月2日
他以前也喜欢逗我笑
以前啊他最喜欢的就是胡香如了
现在啊也许他最烦的也是胡香如了
不知为何2020.4.21他离开胡香如了
胡香如真的真的很爱很爱田文涛
胡香如忘不掉田文涛。
胡香如每天都在想田文涛。
胡香如想每天见到田文涛。
田文涛是胡香如的整个青春
",2644,8月6日 18:20,107313
14,"我已经在心底嫁给你一次了 所以以后你娶谁我都打心底祝福你 我的男孩子要一路顺风 在没我地方记得好好生活 我们有缘再见。
",2557,9月4日 01:07,107313
