,1,0,time,comments_num
0,"我会一直喜欢到你不再需要我喜欢你为止。 我从来没有这样喜欢过一个人。 希望我们都能像对方一样勇敢。 你就是我意料之外的意外。 丞哥，我上辈子应该是做了点儿什么了不起的大事儿，这辈子才能碰到你。
",67万,2017年6月14日,577717
1,"作为一个同性恋者，到现在还是很怕看到“同性才是真爱，异性只为繁衍”这句话。哪怕只是开玩笑…… 每个人都是为了被爱和爱人而活下去，每个人都值得爱人与被爱，跟性向无关。
",49.9万,2018年3月10日,577717
2,"“我会一直喜欢到你不再需要我喜欢你为止。” “希望我们都能像对方一样勇敢。” “丞哥抱。”
“我就要他，自己走过来，一步一步，不管他用多长时间，他得自己走过来。”
“我要赢一壶酒，拿来娶你。”
“生日快乐，顾飞，跟着光。”
",46.8万,2017年6月14日,577717
3,"这篇文在晋江就可以看，希望大家可以购买正版电子书，也不贵，尊重作者的劳动成果📣('ᴗ' )و
",33.1万,2017年6月19日,577717
4,"我想谈恋爱了，可没有喜欢的人，连发呆都不知道想谁。
",30.2万,2017年6月20日,577717
5,"是的，我们的文身是情侣文身，是一套的，是一对儿的。我们是情侣。那个很帅的长腿少年是我的男朋友。当然，你现在看到的超级无敌英俊的我，也是他的男朋友。
",29.1万,2017年6月17日,577717
6,"今天学校放了 当时跑完步 所有人都在往教学楼里涌 听到之后突然一顿 然后在人潮里和他对视了一眼 心软的一塌糊涂 妈的 要是没有那么多世俗的目光 我一定冲上去抱抱你 然后赖一辈子。
",24.1万,2017年11月21日,577717
7,"其实很喜欢《撒野》这个故事其它书都会二刷三刷然后一直刷到厌倦。深知人性这个特点。所以很漂亮很出色的小说总是没有勇气再打开看第二遍。感觉在看第一遍的时候就在时刻被感动已经用了全力。我想一个眼神就到老。 我想一个眼神就到老！
",18.9万,2017年6月13日,577717
8,“丞哥。”顾飞看着镜头里的蒋丞。“嗯？”蒋丞应了一声。顾飞放下相机，看着他,18.7万,2017年6月17日,577717
9,"“那你抱着我。”顾飞说。 “啊？”蒋丞愣了愣。 “抱。”顾飞说。 顾飞这一个有些沙哑的，带着略微鼻音的，有一丢丢撒娇的“抱”字，在蒋丞耳边就像一朵带着电流的炸开了的小花，让他心里顿时一软，手都差点儿拿不住碗了。
",16.6万,2017年6月21日,577717
10,"最后其实有句话一直想说了，一直以来我选择唱的歌也好我写的歌唱的歌也好，非常谢谢大家喜欢我唱的版本，我觉得每个人都歌的理解和诠释都不一样，所以也就没有必要拿在一起比较，喜欢哪个版本就听哪个版本，喜欢哪个版本就红心哪个版本，无需多言。希望大家对每个歌手都能带着尊重的心态，爱你们
",16.6万,2017年7月26日,577717
11,"任何青春小说都比不上《撒野》带给我的触动
就好像真实存在的两个人
一切都是合情合理 一切都是恰到好处
青春里最肆意的张扬 最疯狂的勇敢
那么多声色犬马 我只想和你
一个眼神就到老
",15.3万,2018年2月17日,577717
12,"我要买一壶酒，拿来娶你！——蒋丞 我在想，万一你没有赢呢，我就自己买了一壶。—— 顾飞
",13.9万,2017年6月15日,577717
13,"顾飞和蒋丞，他们对于对方来说，都是救赎。没有蒋丞，顾飞可能就会闭着眼，像个沉在深海里的人，在那个地方，度过一生。没有顾飞，蒋丞或许不能如此利索地去处理他生父家里的破事儿，也许，他会迷茫很久。但是，他们恰到好处地出现在对方的生命里，像清晨的第一缕阳光。他们拂开迷雾，向对方走去。
",12.2万,2017年6月24日,577717
14,"丞哥，你真是……我长这么大，见过的最优秀的人 我会一直喜欢到你不再需要我喜欢你为止 你就是我意料之外的意外 我喜欢你，超级无敌雷霆闪电霹雳喜欢 丞哥，我很想你，就现在 我会像你一样勇敢，我会努力，跟你吃一辈子大五花 你是我的骄傲 我爱你 我说，蒋丞我爱你
",11.6万,2017年6月18日,577717
