,1,0,time,comments_num
0,"太主动反而被敷衍 只好把想念和热情都收敛
",16.6万,3月31日 20:03,97150
1,"“撒娇是察觉到了被偏爱的可能 ，收敛是知道了自己和他不可能。”
",11.6万,3月31日 20:00,97150
2,"“你总是十分收敛，保留着天真一点。”
词作打卡 放言说",55605,3月31日 21:03,97150
3,缺乏安全感的人是什么状态,27605,3月31日 20:01,97150
4,"2019.9.18晚八点发歌，你发布了第一首自己的歌《可能》
今天2020.3.31晚八点发歌，你发布了自己的第二首歌《收敛》
不够，未来可期✨✨冲啊！！！！✨✨
",13939,3月31日 20:01,97150
5,"你《可能》不喜欢我，但是我喜欢你不想《收敛》
",11934,3月31日 20:03,97150
6,"各位
",9258,4月28日 22:49,97150
7,"你拒绝了我的爱
拒绝了我的眼泪
拒绝了我的哀求 可为什么不拒绝我的身体
",9118,5月29日 10:02,97150
8,"“麻麻说见到心动的女孩子要学会变脸💗”
",8609,3月31日 20:01,97150
9,"她告诉你的时候她也很难过.
",5989,7月30日 23:36,97150
10,"我爱上了我军训的教官，他很温柔，头一次离开家里的保护的我，独自面对18天的军训的我，心里很害怕，加上体弱，军训的时候教官总会安慰我，发现了我低血糖会在口袋里装糖。虽然最后变成军训中表现好的奖励，我情绪低落开始哭的时候他就跑过来安慰我。我可能有点恃宠而骄了。有一次闹情绪，他跑过来安慰
",5693,5月24日 01:51,97150
11,"我们今天在一起了。
她今天跟我讲:“我跟我前男友睡过。”
",5377,7月30日 23:16,97150
12,"Ď，这个符号是一个女生对我说的
",5187,7月23日 17:06,97150
13,"他很爱她，她也一样。
只是她品学兼优，是清华的保送生，而他从不学习。
高二结束，她向他要一件礼物，做为毕业分手时的纪念。
他愣了好一会，最后说要给她写一封情书，不过要用一年的时间。
一年后，离别的车站，她拿到了他递她的信封，但信封里面并没有情书，而是他的清华录取通知书。
",5151,8月19日 00:39,97150
14,"看见一个男孩训练把腿弄伤了
留了好多血 他抱着腿一声不吭的等着救护车
结果他的女朋友急匆匆跑过来他哇的一下哭了.
",4768,9月11日 13:17,97150
