,1,0,time,comments_num
0,"“在你之后，我没有拿得出手的痛苦。” 
",74.4万,2017年10月22日,1683468
1,"“在你之前，我没有一件像样的心事。”
",67.7万,2017年10月22日,1683468
2,"每次睡觉前都会看一看这里的留言。两千多条留言每一条我都有看。谢谢你们和我分享一个个悲欢离合的故事。不忍心看到那么多颗碎裂心。请把悲伤都留给我。晚安。
",40.9万,2017年11月14日,1683468
3,"我们的关系只存在于对方的对话框里
手机一锁 电源一关 关系就断
原来我们从没有让彼此的心更靠近一步
",31.6万,2017年10月31日,1683468
4,"全是泪水的手机屏幕是打不了字的
",31.4万,2017年11月8日,1683468
5,"你愛我吧 我求你了
",28.2万,2017年11月12日,1683468
6,"那你呢 喜欢过我吗
",20.6万,2017年11月7日,1683468
7,"手机聊出来的感情就停在手机里吧
",18.5万,2017年11月19日,1683468
8,"我抓不住这世间的美好
只能装作万事顺遂的模样 
",15.8万,2017年11月8日,1683468
9,"‭卸下你的防备 你知道我一直都在‬
‭忠于你 终于你‬
",12.5万,2017年11月9日,1683468
10,"我从来没有一遍又一遍的听一首歌。但会一遍又一遍循环遗憾
",11.3万,2017年10月25日,1683468
11,"看天上那只风筝
只要手一松它就飘走了
",96488,2017年11月7日,1683468
12,"少吃兩口飯我都做不到 怎麼可能說不喜歡就不喜歡呢
",94728,2018年2月17日,1683468
13,"我 们 的 爱 断 了 线
",83076,2017年10月28日,1683468
14,"你拒绝了我的爱
拒绝了我的眼泪
拒绝了我的哀求 可为什么不拒绝我的身体
",35932,2018年1月24日,1683468
