,1,0,time,comments_num
0,"这一首唱的是 “你是我 我亦是你。消失或存在 都在我记忆最深处 不灭不散”
",27.3万,2017年7月30日,245609
1,"不要再给男朋友织围巾了，他觉得不好看，他也不会带，给爸爸织吧，他会高兴好久的。可惜我的爸爸去了无人之岛。
",24.2万,2019年12月28日,245609
2,"“你和你喜欢的那个人最后怎么样了啊？”
“失去了联系”
“你还喜欢她吗”
“嗯”
“那为什么不去找她啊”
“我不认为她还会喜欢我 ”
“怎么不试试啊 也许他也仍然喜欢你呢”
“害怕拒绝 折磨 自取其辱”
",23.2万,2018年3月21日,245609
3,"这首歌在写词的时候写的很快，想送给生命中突然离去，再也无法相见的人，你说“走的太匆忙，来不及告别，这样也好，我们永远不会告别”如果此生不能再相见，不如虚幻出一个世界，假装你只是贪玩去了无人之岛，我们在平行宇宙里，依然各自生活。有一天我们终会在别处相见。可惜再也不能分享新歌给你听了
",11.3万,2017年7月31日,245609
4,"总有一天，会有那么一个人，看你写过的所有状态，读完你写的所有微博，看你从小到大的所有照片，甚至去别的地方寻找关于你的信息，试着听你听的歌，走你走过的地方，看你喜欢看的书，品尝你总是大呼好吃的东西……只是想弥补上，你的青春
",96072,2017年8月7日,245609
5,"无人之岛无人知道
",74613,2017年9月25日,245609
6,"遇见了就热烈欢迎
分开了就坦然接受 多大点事
",56750,2017年11月8日,245609
7,"哇，好好听。
",49720,2017年7月31日,245609
8,"不谈恋爱是因为累了 反正最后都是要分开的 不想难受了
",45419,2017年11月10日,245609
9,"如果累了 就拉上窗帘关上手机关掉闹钟 深呼吸一口气钻进被窝放空去睡一觉 难熬的日子总需要更多精力🍃
",40930,2017年9月1日,245609
10,"你知道什么叫意外吗
就是我从没想过会遇见你
但我遇见了
我从没想过会爱你
但我爱了.
",37278,2018年5月18日,245609
11,"听的时候我在想 我们分开了会怎么办 同甘共苦我现在才体会到 如果以后你娶的不是我 我真的会摸着她的婚纱告诉你 这是我十九岁的梦想 始于脸红 终于眼红
",30962,2017年11月7日,245609
12,"你婚礼那天牵新娘的手的时候，会不会想到这是某个围着你转的女孩从小到大的梦想
",28954,2018年5月23日,245609
13,"在某个瞬间 特别想谈恋爱 想做回小女生 可爱地软趴趴地等他回来抱 我可是要不了多久 这个想法就会被自己扼杀 不行的 没有人能长长久久的喜欢我的。
",28453,1月9日 23:38,245609
14,"也不是什么大事，
",26215,2月1日 19:22,245609
