,1,0,time,comments_num
0,"“无论谁离开了你 别忘了 他没来之前 你本就是一个人生活 ”
",12.1万,7月5日 00:36,133071
1,"“星星是银河递给月亮的情书，你是世界赠与我的恩赐”
",89002,7月5日 04:03,133071
2,"真的好听得音色
",61886,7月5日 00:11,133071
3,"他和她的情头真的丑爆了。
",39324,9月3日 15:24,133071
4,"等女生主动的男生都是大笨蛋
",35433,9月8日 01:09,133071
5,"两个男生在一起，流言蜚语很多，差点撑不住了
",30783,9月3日 14:42,133071
6,手机瘾最大建议,25211,8月27日 21:38,133071
7,"是情侣关系你就冷落我，是朋友关系你就和我暧昧不清
",21946,9月8日 13:25,133071
8,"“属于李尖尖的东西我不会分给任何人”这句话是凌霄说的，可是做到的却是贺子秋
",18928,8月18日 22:11,133071
9,"我像个变态一样偷窥着你的生活
",16574,9月14日 10:24,133071
10,"以光速接近你的人也会以光速离开你 
",12283,9月2日 10:01,133071
11,"早晚你会明白 前途比爱情重要.
",11221,9月13日 14:48,133071
12,"曾经等我放学的人现在接我下班.
",11145,9月19日 21:17,133071
13,"他给我留下的后劲好大
",9616,9月1日 19:44,133071
14,"“其实每次道别之后 我都有悄悄回头过.”
",6626,9月15日 13:43,133071
