,1,0,time,comments_num
0,"把原唱逼的出DJ版 ，这力量也就抖友们有了
",29587,9月24日 04:21,9091
1,"做自己的DJ版不给其他人可乘之机
",23667,9月24日 10:19,9091
2,"我们总是怀念过去 幻想未来
却把现在过的一塌糊涂
",6929,9月24日 21:56,9091
3,"他给全班女生了两颗糖
唯独给我了两颗老鼠药
我笑了笑没说话
吞下了这两颗老鼠药
他问我
你不想活了吗
我又笑笑",5320,10月2日 10:54,9091
4,"年纪大了，不听几首DJ晚上睡不着
",4456,9月30日 09:48,9091
5,"DJ版火了，下架了所有翻唱改版，只有原唱。说心里话，这歌没有人改DJ版，就一直不温不火
",3281,9月25日 07:55,9091
6,"唉……国庆和中秋都在一起了……我们还单身
",2658,9月25日 22:56,9091
7,"第一次见原唱出了自己歌曲的dj版
",2612,9月26日 15:40,9091
8,"女孩子说不联系是假的
还是会偷偷看他的资料
关注他的动态
可男孩子说不联系
就是真的不联系了……
",2349,9月26日 20:23,9091
9,"是情侣关系你就冷落我，是朋友关系你就和我暧昧不清
",2153,9月24日 18:51,9091
10,"这DJ加的感觉有点土
",2126,9月30日 13:33,9091
11,"哈哈哈哈笑死了，其它DJ的都下架了[多多大笑]
",1947,9月24日 20:42,9091
12,"“你有摸过男生的脸吗？”
“如来神掌”
“你牵过男生生的手吗？”
“掰手腕”
“你挽过男生的胳膊吗？”
“过肩摔”
“你摸过男生的头吗？”
“弹脑蹦”
“你和男人贴过额吗？”
“铁头功”
“那你和男生干过偷偷摸摸的事情吗？”
“考试作弊，那个提心吊胆，哎呦，卧槽！~\(≧▽≦)/
",1782,10月13日 20:11,9091
13,"土到极致就是潮。
",1625,10月2日 12:45,9091
14,"食堂一楼有位阿姨人特别好， 每次点菜都给我们特别多。 有次食堂举行活动， 请我们投票选出心目中最好的食堂阿姨， 我们毫不犹豫地都投给了她。 那天以后，我们就再也没见到过她了
",1438,10月4日 10:09,9091
