,1,0,time,comments_num
0,"楚晚宁伸出手，环住了墨燃的腰。
黑夜里，他说",27514,6月19日 20:52,15636
1,"看完二哈后我才知道，原来墨燃不姓墨，薛蒙不姓薛，师昧不姓师，楚晚宁不是人
",25252,6月19日 18:41,15636
2,"晚夜微雨问海棠 用地久天长，与你并肩共赏 这场人间风光。
",21771,6月19日 16:43,15636
3,"感觉你在骂晚宁但你确实说的没毛病……
",11046,6月20日 21:15,15636
4,"只有二哈女孩才知道东施效颦这个成语有多虐
",8648,7月26日 16:28,15636
5,楚晚宁侧过头来看着他,8302,8月5日 19:06,15636
6,"二哈里觉得师尊很可爱的一个点是墨燃去鬼界寻找师尊的魂魄时候，师尊见到狗子的第一句话说，“混账，你怎么也死了”(>_<)
",6938,7月11日 00:25,15636
7,看《二哈》时,5880,6月20日 14:32,15636
8,"楚晚宁被他揉着揉着，一开始还笑，到后来慢慢的眼眶里起了层水，他望着眼前那张灿烂年轻的脸庞，轻声说:“墨燃，我不和你玩了，你松手。”
“墨燃，我没有在开玩笑，我真的不想和你玩了，你松开我，你松手好不好?”
“墨燃，我疼…”
",5611,7月6日 02:50,15636
9,"“师尊要是愿意，就点个头”
“……”
“我数三下，可以么？”
“……”
“师尊要是不说话，我就当你是答应了啊。”
“一，二，三。”
“刚才数得太快了，你应该没有准备好，我再数一遍。”
“一、二、三。”
“……”
“师尊，你听到了吗？”
“我再慢慢数一遍，我怕你听不着。”
",5103,6月21日 10:47,15636
10,"简单介绍一下二哈，开头虐师尊，后面虐墨燃，全程虐我
",4822,8月6日 13:34,15636
11,晚宁,4776,10月8日 11:03,15636
12,"唱的什么东西，没有一句不好听的
",4569,10月20日 11:36,15636
13,"“薛蒙，对不起 ，我不配当你哥哥 ……我要当你师娘”
",4470,10月18日 11:49,15636
14,"“墨仙君有什么好的？” “一群刁民！为什么他们都只记得墨仙君？” “修补玄武结界的是本座！” “救他们一条狗命的也是本座！” “挡下滔天洪水的还是本座！” “看什么？！” “就连你。也是本座的！”
",4277,7月15日 07:22,15636
