,1,0,time,comments_num
0,"大家好，我是顏人中，身高185，體重一個月之內會降到80kg ! 這是我的第一隻個人單曲，謝謝大家熬夜的等待，感恩感動感謝！！
我還是覺得在做夢，你們的每一份支持和每一個點讚都是我走到今天的動力，再次感謝你們每一個人！！！
",35.8万,2019年4月19日,268660
1,"你用“随机播放”的晚安
回我“单曲循环”的晚安
",28.2万,2019年4月19日,268660
2,"“晚安”的意思就是“我今天打烊了”
只是不对外营业了而已
跟睡不睡觉没关系 其实“晚安”还有另一种意思
把温柔与浪漫藏进晚安里
“我对全世界说晚安 独独对你说喜欢”
",25万,2019年4月19日,268660
3,"夜深了，你們最想和誰說晚安，寫在評論區，相信他/她能感受得到！
一周之後，我會在評論區抽取一位朋友在12點打電話給你說“晚安”，陪你進入夢鄉～
一個月之後我會抽取另外一位朋友，送你到台灣我請你吃飯一起唱歌！包機票包酒店，謝謝網易雲音樂的支持！
",99248,2019年4月19日,268660
4,"“很抱歉啊，我白天都没什么机会和你说话，只能憋到晚上和你说句晚安。但你可别小看了这两个字，它可包含着我今天清晨见到的阳光，中午看到的白云，傍晚遇见的微风，包含着我这一天每句想对你说的话，晚安。”
",91374,2019年5月12日,268660
5,"晚是世界的晚 安是给你的安
",75201,2019年4月19日,268660
6,"希望你一辈子都是小孩儿
对所有事都好奇 爱哼小曲 永远快乐
喜欢和讨厌不用遮掩
每天都能跟喜欢的人讲一大堆废话
也能互道晚安❤️
",56336,2019年4月19日,268660
7,"你离开以后，我就再也没收到过晚安。
",42160,2019年4月19日,268660
8,"有多少人是鼓起了勇气只为了说 一句晚安 却反过去去面对一段不敢拥有的感情
",32124,2019年8月3日,268660
9,"你的一句晚安 让我彻夜难眠
",31099,2019年5月9日,268660
10,"从触屏手机上的晚安。到你压着我胸口的晚安。我等了好几个年头。 幸好，你回来了。
",28854,2019年6月5日,268660
11,"晚安 “我真的真的真的，不想再异地恋了。”
",28593,2019年4月19日,268660
12,"颜生初有梦
人籁胜春风
中逵绝半空
带意终凝凤
我闻溺醉翁
游骋志如羾
台阁倚万重
湾然似水浓
🙃我为什么又发不了
",18947,2019年4月23日,268660
13,"我我我！如果我去台湾就给你唱一路的《阿里山的姑娘》和《晚安》！
",14926,2019年4月19日,268660
14,"好听到不想和你说晚安
之后就是别人cover",13229,2019年4月19日,268660
