,1,0,time,comments_num
0,"一起吹过晚风的人 大概会记得久一些
",50054,4月19日 22:38,46535
1,"当初你也是那个习惯把太阳画在纸的角上的小屁孩吧
",43550,4月19日 17:25,46535
2,"我们结婚吧 我搬到你家 你给我买个小点的戒指吧 我不要车不要房不要彩礼 结婚证也很便宜 我是真的很想嫁给你
",43136,4月19日 17:30,46535
3,"人如果没有梦想，那跟咸鱼有什么区别啊？
",10467,9月6日 03:28,46535
4,"这副歌难度很大，我尽力了实在不行我换一个版本？
",6978,5月26日 03:08,46535
5,"‌不是情侣的占有欲最可笑
",3699,10月23日 03:15,46535
6,"不就是浙大吗，我陪你考就是了
",3664,8月20日 11:16,46535
7,"音响放我的歌单好了，作为回报你要给我做饭。
",3443,4月19日 17:36,46535
8,"这段时间真能算是低谷期 妈不小心腿被钢板砸穿了 现在也在昏迷 我呢也离理想的学校差1分 好多事情来的挺突然 已经偷偷哭了很多次了 每次特别迷茫的时候都喜欢在医院的楼梯道里听这首歌 这首歌真的给了我很多鼓励 今天8.20号 生日 偷偷祝自己生日快乐 今年生日就陪陪妈妈 她能康复就是给我最好的礼物了
",3028,8月20日 11:30,46535
9,"我
肝癌
中晚期
你不要忘了
我爱过你
",2766,10月25日 08:31,46535
10,"“男女之间没有纯友谊
如果你觉得有
那你就是被爱的那一个”
",2397,10月23日 21:35,46535
11,"也许陪她吹过晚风的不止你一个
",2302,4月21日 19:13,46535
12,"你不如现实一点先把书读好。
",2226,10月28日 18:59,46535
13,"爷明年要高考，要上一本，要对她表白，要通宵开黑，要徒步去更远的地方。
",1919,4月23日 22:13,46535
14,"或许他想让你过的更好
",1755,4月19日 17:40,46535
