,1,0,time,comments_num
0,"“不删除，不聊天，没交集”
",19.4万,2019年7月25日,140334
1,"洛枳曾说
‘’暗恋的确卑微
我喜欢你
我爱你
可我也得对得起我自己‘’
我想最最牛逼的暗恋就是为了他变成了更好的自己
",68424,2019年7月25日,140334
2,"你不会为了我注册网易云
听不到这首歌
你也看不到我所有的评论
不会因为这个名字想到我
就像这个评论在这两千多里面
根本不值一提
",45388,2019年8月2日,140334
3,"这首歌，仅对那个喜欢过的男孩可见
",35547,2019年7月25日,140334
4,"这是一首
想分享给你的歌
又不想
分享给你的一首歌
因为
暗恋是一个人的事
",30085,2019年7月29日,140334
5,"我想去拥抱你
即使间隔春秋
山河阻拦
风雨交加
路遥马远
我都可以跨越重重艰险去找你
唯独你不爱我
我连迈起脚尖的勇气都没有
我连失去你
也没有资格
",24184,2019年7月25日,140334
6,"双向暗恋是两个人的事了吧
呵 我在说什么.........
",17454,2019年7月25日,140334
7,"羡慕与你同行的每个身影
我和你始终隔着安全距离💔
",15855,2019年7月25日,140334
8,"愿你此生都过的清澈明亮
不言不由衷 不口是心非
没有疾病没有烦恼 没有牵挂
有所追求 不辜负梦想
不深陷过去 懂得活在当下
有人真心待你 诚信做你听众
像个孩子无忧无虑
有个人全心全意顾及你理解你懂你
遇见你时我花光了所有的运气
所以没有运气再去陪伴你了
挫折迷茫累了也别怕
最后 别再活在我梦里
",12747,2019年7月26日,140334
9,"等人是会上瘾的，因为等着等着，你会发现，如果你不等了，不是放弃了对方，而是背叛了自己。
",8376,2019年7月25日,140334
10,"动情一败涂地
",8247,2019年7月28日,140334
11,"可是你看不到我的心意
",6900,2019年7月25日,140334
12,"心动覆水难收，动情一败涂地，难过铺天盖地
",6256,2019年7月28日,140334
13,"字多的就输了
",6230,2019年7月28日,140334
14,"就是这样。
",5897,2019年7月27日,140334
