,1,0,time,comments_num
0,"他更新一条动态 你就好像在做阅读理解
",44648,2019年12月14日,28660
1,"后来才知道 喜欢上一个人从期望到失望再到绝望就是你重新爱自己的过程
",29489,2019年12月14日,28660
2,"他要星星就给他星星，他要月亮就给他月亮，他要自由要安逸就让他走
",24136,2019年12月21日,28660
3,"下雨了 我指的不是天气
",6926,2019年12月14日,28660
4,"取消了置顶之后”才发现，你排在了最后
",6231,7月1日 09:56,28660
5,李宫俊,3877,2019年12月14日,28660
6,"21了，什么时候才能忘了17岁的那个人。
",3725,4月10日 20:41,28660
7,"为什么会有看了消息不回的男孩子
",3287,8月20日 22:01,28660
8,"男孩子真正喜欢一个女孩到底是什么样的啊
",3237,7月26日 23:53,28660
9,"最幸运的是你，最遗憾的也是你。
",3092,2019年12月14日,28660
10,"晚安是礼貌 安安是特殊 晚安安是双倍喜欢
",2811,8月26日 00:21,28660
11,网上最火的一段话,2578,8月31日 09:09,28660
12,"麻烦那些短暂的喜欢离我远点
",2499,9月8日 18:43,28660
13,"好了 说个故事吧
刚入初中的第一天，男孩女孩互不认识，各自坐在座位上，而后男孩转头目光与女孩交汇，女孩忽然感觉到他有些熟悉有些亲切的感觉，但女孩也没太在意，就继续跟身边的同学聊天了.
因为七年级男孩女孩座位相隔较远，所以他们没有什么交集，只是知道彼此的名字而已。
",2233,7月15日 12:24,28660
14,"会小肚鸡肠，会天天想你，会两个小时不给你说话他就不舒服，会想时时刻刻跟你在一起，想拥抱你，想跟你吃饭，想跟你睡觉，会跟你说他的从前，他的未来规划会有你，只要你在他的身边，余光里满满的都是你。
",2199,7月27日 00:26,28660
