,1,0,time,comments_num
0,"十年，评论终于从嘲讽变成了回忆青春吗
",43.7万,2016年6月13日,172121
1,"大家好，我是v-a-e,这是我即将发表的首张独创专辑《自定义》里面的一首推荐曲目，词曲编曲都是我自己，希望这首歌曲能在这个寒冷的冬天带给大家一种温暖的感觉。
",29.3万,2015年1月27日,172121
2,"当然在大学分院里十佳歌手大赛，我就靠这首歌成名哒～～～
",13.2万,2014年11月13日,172121
3,"宿舍的人说你咋听这么非主流的歌，我说 咋啦？我就是非主流咋滴啦？
",11.2万,2014年11月10日,172121
4,嵩哥今天在app上说,10.4万,2015年6月19日,172121
5,"曾经我也挺喜欢许嵩的，后来为了不被当做“非主流”而跟风黑他…今天随机到这首歌，还是觉得旋律很惊艳。网络舆论真的很可怕，一个低调有才的人被无端端地黑成狗…
",84614,2016年2月24日,172121
6,"被北大录取
到阿里巴巴上班
长跑四年的女友牵手成功
美滋滋
",63629,2018年10月7日,172121
7,"听着这歌，我这光棍都感觉恋爱了
",62929,2015年2月25日,172121
8,"格洛米都去世两年了，嵩哥还是没找到媳妇，送是送不成了.....
",59205,2016年3月11日,172121
9,"对许嵩的歌，我从高中开始一直喜欢，到大学后怕别人说幼稚非主流就慢慢不去听。明明自己喜欢女色却装作正人君子，喜欢放肆却一本正经。其实很多人都很虚伪，明明很喜欢的东西为害怕别人的评论而随波逐流。总假装把自己放在道德制高点其实自己什么也不是。
",57305,2016年1月18日,172121
10,"08年的下半年，因为当时玩网游，联盟主在yy指挥几百号人打下城主之后说请个歌手为我们唱歌听，结果就是许嵩，当时还不认识他，许嵩就用yy上麦弹着吉他第一首歌就是有何不可，第二首是玫瑰葬礼，当时听完心里还想从哪请的业余歌手啊唱的是啥啊。后来09年有何不可就火遍了大江南北
",35886,2016年5月8日,172121
11,"对高中没有什么特别感情，但听到这首歌会想起高中时代……
",31086,2014年11月27日,172121
12,"今天在网吧点了这首歌想看看大佬们的反应，我以为会有很多人笑我幼稚啥的，可是他们怎么都轻轻的跟着唱了起来
",30886,2018年2月27日,172121
13,"许嵩的歌越听越有味道
",29005,2017年11月4日,172121
14,"那些恶意永远也不会原谅
",28006,2018年12月21日,172121
