,1,0,time,comments_num
0,"从封面到intro都致敬了一下非常喜爱的漫画《デュラララ!!》（无头骑士异闻录）
主歌旋律是贝斯手写的，贝斯是主唱写的
然后歌词由我们的好朋友王星女士独立完成
从歌名就显而易见了，让我们共同期待一位27岁独立女性到底能中二到什么地步[微笑]
",26254,2018年6月1日,17862
1,"“最后一支旗子已经插好了，天色暗下来的时候那些迷失的人会打着火把来到这里。你要指引他们。”我顺着窗望下去，目之所及已是一片火海。
",18564,2018年6月5日,17862
2,"别光夸王星，也赞美一下我啊
",17776,2018年6月26日,17862
3,"就算被说KY也还是要说
看有人留言
“希望乐队永远别火想私藏”之类的
心情其实理解，但是我觉得这样不对
在这个收听和下载都免费的时代
评论和推给朋友是廉价且唯一能做到的支持吧
太多好乐队因为没人能听到被埋没停更甚至解散了
我不想 失去你。
",7766,2019年1月25日,17862
4,"这个听了老带劲了 写作业的时候放 能多错好几道题
",6968,2019年8月9日,17862
5,"明人不讲暗话 这歌我觉得相当可以
",6369,2018年6月5日,17862
6,"这个听了老带劲了 洗衣服的时候放 能洗好几盆
",6152,2019年7月28日,17862
7,"我要再和生活死磕几年。要么我就毁灭，要么我就注定铸就辉煌。如果有一天，你发现我在平庸面前低了头，请向我开炮！
",3130,2019年8月23日,17862
8,"作者建议你赶紧维权，他们只要出那个游戏宣传视频就带着你的这首歌
",3007,7月10日 22:53,17862
9,"不听夏日是不可能的...个个都是人才...唱歌又好听...
",2946,2018年6月1日,17862
10,"太热血了，我要去单挑我爸了，等我好消息=w=
",2505,8月28日 18:35,17862
11,"希望大家能给我家宝贝投个票，现在第二名的夏日入侵企画小朋友，助力他成为北京市海淀区百万庄赛区酷酷小歌星。
",1936,2019年5月8日,17862
12,"听这个老得劲了拉屎像放炮一样
",1926,9月6日 06:18,17862
13,"每次听见，我就想起楚子航，凯撒，路明非，在日本那一场大雨，感觉太像了
",1859,8月6日 00:40,17862
14,"怎么没有人夸鼓手？！这鼓燃爆了！
",1413,2019年8月27日,17862
