,1,0,time,comments_num
0,"我以为要相爱的两个人分手 至少要有一件轰轰烈烈的大事发生 但其实不用 不安 疲乏 忙碌 就够了
",75187,2019年8月9日,46101
1,"人的崩溃都是悄无声息的 你坐在那里一动不动 内心却是一片狼藉 满地灰烬.
",55221,2019年8月9日,46101
2,"你已经不是小朋友了 撑不住了也不许哭哦
",47771,2019年8月9日,46101
3,"我爱你的时候最幼稚 但你只觉得我幼稚.
",30689,2019年8月9日,46101
4,"我也喜欢被摸头说只要我在你永远不用长大.
",30065,2019年8月9日,46101
5,"那些我辗转反侧的夜晚你真的问心无愧吗
",18914,2019年8月11日,46101
6,"See how much i love you.你永远不知道我有多爱你.
",11895,2019年10月2日,46101
7,"你根本不懂得爱我.
",11616,2019年8月9日,46101
8,"维持着熟悉表情陌生关系不要变，只等到红白仪式一场偶遇才会面。
",9142,2019年8月29日,46101
9,"我是真的等过你很久 只是你没来。
",9139,2019年8月9日,46101
10,"故事不长，也不难讲，四字概括，爱而不得
",7672,2019年8月11日,46101
11,"别害我了，我没有地方可以伤害了
",6857,2019年8月11日,46101
12,"我记得你爱我，又或许是我记反了...
",5855,2019年8月12日,46101
13,"一个广东人表示听着好别扭啊
",3983,4月18日 15:24,46101
14,"因为日积月累的沉淀 累到无法呼吸
",3778,2019年8月9日,46101
