,1,0,time,comments_num
0,"如果你真的不在乎
怎么会有这么多情绪
",15551,2019年11月12日,26338
1,"无情总比有情的好，无情就不会留恋曾经发生的一切，无情便可深深地隐藏自己，隐藏自己的真实情感。
",14305,2019年8月14日,26338
2,"你给我的欢 够我撑上一段你给我的悲
",9542,2019年11月26日,26338
3,"零碎的岛屿终会找到海慢慢亦漫漫.
",3536,10月6日 20:49,26338
4,"听《欢》的有三种人，自己名字有欢，喜欢的人名字有欢，
",3335,10月23日 23:17,26338
5,"“缺爱的女生是谈不好恋爱的，明明在乎的要死，眼泪都快溢出来了还要说没事，她需要的安全感不是一般男生能给得起”
",3254,10月27日 22:40,26338
6,"上课听不进去走神想到了什么就突然好烦好委屈 红了眼眶又把眼泪憋回去反反复复每天都是这样度过的
",2992,10月9日 23:44,26338
7,"喜欢了好久的歌变成了网络爆曲挺不甘的
",2719,10月11日 08:26,26338
8,"“亲手删掉了自己喜欢好久的人，真的很难受吧”
",2575,10月30日 21:06,26338
9,目前最恐怖的状态是,2568,10月29日 14:39,26338
10,"“其实我不太懂喜欢，可我想走向你。”
",2376,10月25日 01:34,26338
11,"两个女孩子，可以走到最后吗？
",2241,10月31日 21:35,26338
12,"为了凑齐“我喜欢xxx”,发现的宝藏歌曲
",2070,4月8日 17:36,26338
13,"你要是联系我呢 我就跟你聊 你要是不联系我 我就顺其自然 实不相瞒 有点想你 但能克制 问题不大 毕竟有趣的事情还有很多
",1862,10月17日 20:20,26338
14,"我想有一天 我跟一个人足够契合，我们可以一整天没有电脑没有手机，可以吃着好吃的，听着音乐，彼此接受彼此最邋遢的样子，聊着天南地北的话题，甚至于两两相望静静的坐一整天也很自然，多想要那个人是你呀。
",1595,2019年12月11日,26338
