,1,0,time,comments_num
0,"总算是出来啦～别再说我老长时间不发歌啦。希望大家喜欢❤️
",27764,7月7日 20:02,20755
1,"你若化为夜空中的一抹月影
我愿化成深海里的一只蓝鲸
你若化为夜空中的星月
我愿化成孤独的深海
我的一切都有关于你，也有关于海，愿我能久居深海，也能一直拥有你。。
",26736,7月7日 20:00,20755
2,"因为海底这首歌认识的三块木头，然后偶然遇到直播，进了直播间发现就一直唱歌，也不和别的主播PK，唱歌也超级好听，今天又去了直播间，出新歌了，我来抢个前排，三块木头唱歌超级好听，是个宝藏男孩，希望三块木头越来越好，粉你
",21489,7月7日 20:34,20755
3,"“张嘴，哥哥教你怎么接吻”——段嘉许。
",8955,7月29日 07:39,20755
4,"科学家们发现一头声音频率特别的鲸鱼，当然，在别的鲸鱼眼里，它就是个哑巴
",7112,7月7日 22:24,20755
5,"殉情为什么要抹香精哈哈哈
",5848,7月29日 09:50,20755
6,"现在歌手取名都这么随意了嘛？ 一支榴莲，三块木头，四只烤翅
",5778,8月21日 18:13,20755
7,"今天是我的生日，还有3分钟就要结束了，我期待了很久，我没有收到礼物和祝福，但是我不难过，因为我有爸爸妈妈爱我，现在我正听着我最喜欢的歌，躺在床上等待这一天的结束
",4307,7月13日 23:57,20755
8,"52赫兹 深海里有一只鲸鱼，它只能发出52赫兹的叫声。但听说最近，她找到了伴侣。慢慢来吧，都会好的。
",3569,7月8日 00:13,20755
9,抹香鲸,2492,8月2日 01:32,20755
10,"像鲸沉于海底温柔呼吸，痴极嗔极。 像等了多年的老城门，茕茕孑立。 像鲸鱼缺氧于六千四百米的深海，乐此不疲。 像臣民等待王朝复辟，遥遥无期。 柳动蝉鸣，日落潮汐，不能自己。 像云漂泊九万里，不曾歇息。 像太阳升起后的灿烂，不曾停歇。 像江河奔流到海不复还
",2088,7月8日 09:34,20755
11,"还没有一个男生给我梳过头发，还没有一个男生给我打过30个未接电话，还没有一个男生给我连续发过99+甚至20都没有，还没有一个男生在我淋雨时给我披一件衣，我的意中人终究没有找到我。
",1854,8月19日 22:30,20755
12,"当唱到副歌部分深蓝色回忆时不自觉想到了NINEPERCENT，再加上深蓝色那音线有点像小橘，现在想想，他们在的时候没有给他们蓝海，是有多么遗憾，有一场蓝海还说他们给自己的，想想多心酸，现在看看，NINEPERCENT已经解散了320天了，想他们了，总会相遇的，总会在顶峰相遇的
",1850,8月21日 10:20,20755
13,"“我在赌，赌我的小鲸鱼会不会自己游回来”
“林语惊，我这辈子所有的耐心都用在你身上了”
“没事，倦爷疼你”
“林语惊，我不也是无所不能，我不能没有你”
“林语惊，所有的遗憾和错过你相比都是一种幸运”
",1833,7月30日 09:09,20755
14,"“小孩我真的好想和你有未来” .
",1769,7月29日 08:19,20755
