,1,0,time,comments_num
0,"在天文学中，逃逸速度表示物体逃脱星球引力的速度，水星的逃逸速度是4.435km/s，但这并不意味着逃离，我愿意，也希望你吸引我轨迹。
",59.6万,2017年11月4日,553301
1,"希望所有事情都像长胖一样简单
",50.1万,2016年12月5日,553301
2,"暗恋是一种礼貌 暗地里盖一座城堡
",47万,2016年12月9日,553301
3,"以后嫁给你的女生真是太幸福了，我一定要摸摸她的婚纱，告诉她这是我从16岁开始的梦想。
",40.1万,2017年2月11日,553301
4,"“暧昧是什么？”
“所有人都以为你们在一起了，只有你清楚的知道你们的距离。”
",38.1万,2018年1月27日,553301
5,"信使号水星探测器，于2004年8月3日发射，2011年3月18日进入水星轨道，是首颗围绕水星运行的探测器，在水星轨道已经运行了4年，目前由于燃料耗尽，于北京时间15年4月30日下午3:26坠落于水星表面，结束自己的生命。
",27.1万,2016年11月26日,553301
6,"""我在你心里像什么？""
""星星。""
""原来我在你心里这么明亮。""
""不，是多一个少一个都无所谓。”
",26.3万,2018年2月11日,553301
7,作曲,20.1万,2016年11月27日,553301
8,"你是我的恒星，而我却离你几万亿年光景。
",19.5万,2016年11月28日,553301
9,"从前有人问我
是想和你平行还是相交
那时候想都没想脱口而出的相交
后来你毕业了
每次上数学课老师一画出相交线
我就想哭
相交过了就是无限延长
就算平行线一辈子都碰不着
但是距离不会变了
现在
就像是郭顶的太阳和水星
我是全宇宙离你最近的那个
咫尺远近
我要多幸运
才敢让你发觉你并不孤寂
",17.1万,2018年5月1日,553301
10,"7年后郭顶烫卷了头发更烫卷了他的舌头，求求你们听听他的新专《飞行器的执行周期》吧，如曾偷偷默默喜欢田馥甄李荣浩薛之谦，像发掘了了不得的宝藏，直到街边卖旋风土豆的小贩都放着他们的歌边唱边炸。郭顶也是一样啊，想要他的歌烂大街也想他的歌只属于我流浪时候的耳机里，多矛盾。
",12.7万,2016年11月30日,553301
11,"伴你身侧而身侧却是银河。
",11.5万,2016年12月12日,553301
12,"今天美术课轮到我放歌 放了郭老师的水星记 好难过 真的没有多少人能和我一起欣赏这首歌 有些东西 还是自己小心地收起来吧 或者 跟真正懂自己的人一起分享吧 :-(
",99141,2018年5月8日,553301
13,"真爱的第一个征兆，在男孩身上是胆怯，在女孩身上是大胆。 —维克多.雨果
",78515,2018年4月14日,553301
14,"“嘿，你知道吗，你是偶然降落在我这颗行星的飞船，然而我却不想让你再次起航了。”
",78070,2016年12月12日,553301
